end;AccountsPayableCurrent;AccountsReceivableNetCurrent;AccruedLiabilitiesCurrent;AdditionalPaidInCapital;AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue;AllocatedShareBasedCompensationExpense;AmortizationOfFinancingCostsAndDiscounts;Assets;AssetsCurrent;CashAndCashEquivalentsAtCarryingValue;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;CommonStockValue;CommonStockValueOutstanding;ConstructionInProgressExpendituresIncurredButNotYetPaid;ContractWithCustomerAssetNet;ContractWithCustomerLiability;CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization;CostsAndExpenses;DebtCurrent;DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet;DebtIssuanceCostsLineOfCreditArrangementsNet;DebtLongtermAndShorttermCombinedAmount;DeferredFinanceCostsNoncurrentNet;DeferredIncomeTaxAssetsNet;DeferredRevenueCurrent;DeferredRevenueNoncurrent;Depreciation;DepreciationDepletionAndAmortization;DerivativeAssets;DerivativeAssetsCurrent;DerivativeAssetsNoncurrent;DerivativeFairValueOfDerivativeNet;DerivativeLiabilities;DerivativeLiabilitiesCurrent;DerivativeLiabilitiesNoncurrent;EmployeeRelatedLiabilitiesCurrent;EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount;EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense;EquityMethodInvestments;FinanceLeaseLiability;FinanceLeaseLiabilityNoncurrent;FinanceLeaseLiabilityPaymentsDue;FinanceLeaseLiabilityPaymentsDueAfterYearFive;FinanceLeaseLiabilityPaymentsDueYearFive;FinanceLeaseLiabilityPaymentsDueYearFour;FinanceLeaseLiabilityPaymentsDueYearThree;FinanceLeaseLiabilityPaymentsDueYearTwo;FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear;FinanceLeaseLiabilityUndiscountedExcessAmount;GainLossOnDerivativeInstrumentsNetPretax;GainLossOnSalesOfAssetsAndAssetImpairmentCharges;GainsLossesOnExtinguishmentOfDebt;GeneralAndAdministrativeExpense;Goodwill;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeTaxExpenseBenefit;IncreaseDecreaseInAccountsAndOtherReceivables;IncreaseDecreaseInAccountsPayableAndAccruedLiabilities;IncreaseDecreaseInDeferredRevenue;IncreaseDecreaseInInventories;IncreaseDecreaseInOtherOperatingCapitalNet;InterestCostsCapitalized;InterestCostsCapitalizedAdjustment;InterestCostsIncurred;InterestExpense;InterestPaidNet;InterestPayableCurrent;InventoryNet;LeaseCost;LeaseIncome;LesseeOperatingLeaseLiabilityPaymentsDue;LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive;LesseeOperatingLeaseLiabilityPaymentsDueYearFive;LesseeOperatingLeaseLiabilityPaymentsDueYearFour;LesseeOperatingLeaseLiabilityPaymentsDueYearThree;LesseeOperatingLeaseLiabilityPaymentsDueYearTwo;LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear;LesseeOperatingLeaseLiabilityUndiscountedExcessAmount;LessorOperatingLeasePaymentsToBeReceivedRemainderOfFiscalYear;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LongTermDebt;LongTermDebtNoncurrent;MinorityInterest;MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;NonoperatingIncomeExpense;OilAndGasSalesRevenue;OperatingCostsAndExpenses;OperatingExpenses;OperatingIncomeLoss;OperatingLeaseLeaseIncomeLeasePayments;OperatingLeaseLiability;OperatingLeaseLiabilityCurrent;OperatingLeaseLiabilityNoncurrent;OperatingLeaseRightOfUseAsset;OtherAccruedLiabilitiesCurrent;OtherAssetsCurrent;OtherAssetsMiscellaneousNoncurrent;OtherAssetsNoncurrent;OtherCostAndExpenseOperating;OtherLiabilitiesCurrent;OtherLiabilitiesNoncurrent;OtherNoncashIncomeExpense;OtherNonoperatingIncomeExpense;OtherReceivablesGrossCurrent;OtherSalesRevenueNet;PaymentsForProceedsFromOtherInvestingActivities;PaymentsForRepurchaseOfCommonStock;PaymentsRelatedToTaxWithholdingForShareBasedCompensation;PaymentsToAcquirePropertyPlantAndEquipment;PaymentsToMinorityShareholders;PreferredStockValue;PrepaidExpenseAndOtherAssetsCurrent;ProceedsFromPaymentsForOtherFinancingActivities;ProceedsFromStockOptionsExercised;ProfitLoss;PropertyPlantAndEquipmentNet;ReceivablesNetCurrent;ResearchAndDevelopmentExpense;RestrictedCashAndCashEquivalentsAtCarryingValue;RestrictedCashAndCashEquivalentsNoncurrent;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerExcludingAssessedTax;RevenueNotFromContractWithCustomer;RevenueNotFromContractWithCustomerOther;Revenues;SalesRevenueFromEnergyCommoditiesAndServices;SellingGeneralAndAdministrativeExpense;ShareBasedCompensation;SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;StockIssuedDuringPeriodValueShareBasedCompensationGross;StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1;TreasuryStockValue;TreasuryStockValueAcquiredCostMethod;VariableLeaseIncome
2010-06-30;;;;;;23097361.558888808;6984000.0;2564433000.0;;73940000.0;1763383210.3731258;;693173.4382048398;;-1045026200.2142508;120000000.0;2149407024.011413;2889793717.0657563;;2254122989.822338;;;-11351080.110542983;566901044.0515646;-4741313.527786255;;;15612000.0;;19993768.327207055;;3200794900.8684835;-2914216049.088573;;;;;;6796850.414767325;-177594768.02230266;-156256079.29641572;5629642.542147011;84550594.28926861;-27256777.622698493;-26243777.38067554;-25142310.18446705;-22609809.579409473;-20040890.118342645;177171180.1160969;-44000.0;;0.0;16910000.0;76819000.0;85172000.0;0.0;28289000.0;36719000.0;-1384000.0;8389000.0;5621000.0;;94089400.22535387;;66950000.0;9412000.0;28010971.068815947;;259474193.3470541;73120678.75173219;-5580937689.5062065;-777535038.1637957;-577476254.4006891;-689297734.2122506;-1136673576.0309753;-599912114.581162;734713790.4927394;-690770986.4033755;349927051.26542073;;1992522319.4334679;;;4095850963.287945;;-312000.0;-132000.0;-49244000.0;85677000.0;-505000.0;60482000.0;884000.0;43585000.0;55665000.0;24690000.0;44307926.51973492;-4878363609.232282;-1018116662.4473135;-3795666095.1096344;-4824859348.274665;10647081.913582096;56504286.511808515;;328663755.51114553;133000.0;;-252610559.33037087;152000.0;158000.0;;25000.0;181000.0;0.0;;;641000.0;;-234500901.82942754;-312000.0;;85172000.0;9775176831.269777;;1143000.0;11822108726.334566;;-6202593034.710101;;-80992392.26586846;65245282.244757235;68275000.0;1029000.0;53998907.944843665;8011000.0;25027672.489387196;-2044765216.4752913;-886274066.9084244;;462007630.7710881;64266828.80831605;;
2010-09-30;1413000.0;2740000.0;38061000.0;541444000.0;;23355686.589009263;6984000.0;2564433000.0;261046000.0;81515000.0;-249341794.88212347;;248000.0;;-294835046.2296555;120000000.0;-1210238255.2012253;-547540240.3608077;298000000.0;1996192482.1969523;;;124497825.81869422;844292426.1556754;26363000.0;27500000.0;;16649000.0;;19995285.507379692;;5899201779.437864;-5729775937.3085985;;;8963812.302362503;;;-247101028.75016746;-96687838.08095339;-68581066.78045096;177463563.09606278;-77182438.59711957;-20062399.37792212;-19610955.003788926;-12024258.676859979;-10895647.741531052;303726755.0028668;272221042.964103;0.0;;0.0;15145000.0;76819000.0;-41301000.0;0.0;28289000.0;36719000.0;-1384000.0;8389000.0;5621000.0;76555168.45082289;94089428.46392804;;63899000.0;9412000.0;84182843.14947648;4588000.0;215040851.38246906;76305088.12920141;13501290658.947826;1472501601.7501307;-518204331.41321206;-152282334.5665748;3642026354.29016;5793930905.7196045;734713790.4927394;-11345946.792137861;494597761.2461695;2619807000.0;364197000.0;;2645609000.0;182766000.0;;-312000.0;-132000.0;-49244000.0;-40580000.0;-721000.0;-63684000.0;749000.0;45865000.0;55665000.0;22383000.0;21432803.14768201;12020437586.986246;6943397920.512555;5557304363.620027;12454183430.41467;45811648.062256575;24966382.872356713;;22065000.0;133000.0;360000.0;3364000.0;152000.0;215000.0;-35329480.94373865;21000.0;181000.0;0.0;;;641000.0;0.0;18632000.0;-312000.0;209326.0476918642;-41301000.0;2133333000.0;;4885000.0;72525000.0;82892000.0;-1148459000.0;;-80992392.26586844;71471631.06659418;68248000.0;1533000.0;4009243.642942816;8011000.0;25341621.963344;-613091000.0;-430325000.0;;7559276282.5954;6065000.0;;
2011-03-31;1413000.0;2740000.0;38061000.0;541444000.0;;22424106.52288083;6984000.0;2564433000.0;261046000.0;24473000.0;-249341794.88212347;;248000.0;;-294835046.2296555;120000000.0;-1210238255.2012253;-547540240.3608077;298000000.0;1993394342.3455498;;;125556777.70617914;844292426.1556697;26363000.0;27500000.0;;15386000.0;;20000020.46827539;;5919122014.039782;-5746266828.76257;;;8963812.302362494;;;-247101028.75016746;-21543834.785586447;33240.81222585216;282240877.5251817;-33762420.819755375;-9995424.238774111;-9882584.957456296;-2567764.404745199;-2285666.2014545426;322177128.4061939;301133625.2048912;0.0;;0.0;21510000.0;76819000.0;-40479000.0;0.0;28289000.0;36719000.0;-1384000.0;8389000.0;5621000.0;76555168.45082289;94003119.35368422;;64154000.0;9412000.0;84182843.14947648;4588000.0;234992158.06422287;81858166.20416157;13439222527.478607;1441591751.622735;-518969376.6803508;-159451688.12554538;3627135433.0629373;5774326767.6754265;734713790.4927394;6398418.693279743;495368397.489656;2619807000.0;364197000.0;;2645609000.0;182766000.0;;-312000.0;-132000.0;-49244000.0;-27593125.0;-641000.0;-64300500.0;768000.0;51107000.0;55665000.0;63746031.25;18855980.51395776;11972530060.896107;6933453409.142523;5526451620.670724;12408084822.963602;45804457.83373284;24924560.03507054;;22065000.0;138000.0;360000.0;3364000.0;152000.0;109000.0;-35329480.94373865;13000.0;181000.0;0.0;;;641000.0;0.0;18632000.0;-312000.0;209326.0476918642;-21166593.75;2133333000.0;;8437000.0;72525000.0;82892000.0;-1148459000.0;;-80992392.26586846;77189684.24532056;150771500.0;8449000.0;2074123.3840269744;8011000.0;24209447.231482793;-613091000.0;-430325000.0;;8557480581.713255;6065000.0;;
2011-06-30;1413000.0;2740000.0;38061000.0;541444000.0;2289000.0;2300000.0;7044333.333333333;2619807000.0;261046000.0;162561000.0;-249302570.54459095;;248000.0;0.0;-294564795.5925439;120000000.0;-1268817729.4115314;-605181194.0908861;298000000.0;1716748174.4897623;;;119083636.80667324;847731341.1970563;26363000.0;27500000.0;;15625000.0;;19997219.587630797;;5985666345.327033;-5780821937.675407;;;5442000.0;0.0;;-247135471.9645768;81601893.09378844;94253337.88666555;426063226.2492073;26126614.86776215;-7855624.671676479;-9723628.76853972;5015866.96110408;8158127.337544486;363727644.49156004;338659300.8652238;-448000.0;;-169000.0;19378000.0;76819000.0;-48456000.0;0.0;18469666.666666664;30318000.0;-1290666.6666666667;4503000.0;4352666.666666667;76555168.45082289;97999750.04246107;;64587000.0;14841333.333333332;84771338.5512792;4588000.0;-1112827114.130989;-8362885.851740181;8261830764.361204;-165379174.09274483;1132329644.0344067;247930402.1008954;2186258999.2601423;1179981570.8795161;734495234.702743;706304273.510452;502406842.7593945;2619807000.0;364197000.0;;2645609000.0;182766000.0;8092000.0;16928000.0;-769666.6666666666;-55728000.0;-14606250.0;-1285000.0;-64917000.0;884000.0;56349000.0;56349000.0;105109062.5;-143072990.56769502;6613845453.11644;2185905437.1333923;4993900725.164052;6474426448.549269;45853128.39193253;24950699.308374397;;22065000.0;137000.0;360000.0;3364000.0;1036333.3333333334;118000.0;-35329480.94373865;18000.0;953666.6666666666;599333.3333333334;;;1240000.0;0.0;18632000.0;-441666.6666666667;209326.0476918642;-1032187.5;2133333000.0;;13356000.0;72525000.0;82892000.0;-1148459000.0;;-80992392.26586847;12359437.30764669;233295000.0;4606000.0;-60534825.443437725;6103666.666666667;4376910.300714337;-613091000.0;-430325000.0;;14793594534.792065;6065000.0;304000.0;
2011-09-30;1699000.0;4177000.0;77410000.0;543776000.0;2289000.0;2300000.0;7104666.666666667;2651443000.0;312338000.0;131312000.0;-138443233.24187994;;248000.0;0.0;-294121540.74155074;120000000.0;-1293581326.787727;-631059615.5502374;488666000.0;1717695563.8036232;;;94594721.92907679;852772024.5536103;26457000.0;26500000.0;;15271000.0;;20001446.912581332;;6013973915.41384;-5756803024.546716;;;5442000.0;0.0;;-233057317.2065163;29111855.153481305;46712179.0585285;353255200.58890635;-5285263.430913806;-14904812.232365005;-16541277.033800026;-1693829.5792510733;2056565.5527143776;353656628.4087137;319005175.5920358;-716000.0;;-338000.0;16227000.0;76819000.0;-55469000.0;0.0;8650333.333333332;23917000.0;-1197333.3333333333;617000.0;3084333.3333333335;74343227.4881179;101996380.73123792;;65125000.0;20270666.666666664;81547450.24129143;6879000.0;-424797789.9299278;130507523.78765032;8019338739.700389;-261160067.89599705;1246283333.1155777;276276032.017895;2037750979.1338377;1123623749.7589912;734779932.376554;677408952.7863288;512206519.233632;2651443000.0;595016000.0;;2463939000.0;217770000.0;8092000.0;34168000.0;-1407333.3333333333;-62212000.0;-1619375.0;-1533000.0;-65824000.0;426000.0;55458000.0;55458000.0;146472093.75;6764966.124677703;6510732497.59775;2379995951.552934;4906944066.379481;6432928013.800249;43737287.68274868;26731637.70879747;;19351000.0;1841000.0;784000.0;3288000.0;1920666.6666666667;17000.0;-33076058.076225035;11000.0;1726333.3333333333;1198666.6666666667;;;1839000.0;0.0;17436000.0;-571333.3333333334;248116.441620763;19102218.75;2119717000.0;;11143000.0;152534000.0;82892000.0;-1202396000.0;;-80992392.26586846;125840264.71369919;315818500.0;-2999000.0;-42391432.284266785;4196333.333333334;4376910.300714323;-664668000.0;-446898000.0;;14152593055.278404;6067000.0;304000.0;
2012-03-31;1916000.0;1873000.0;85247000.0;1252826000.0;2289000.0;2300000.0;7165000.0;2934522000.0;591026000.0;439827000.0;84197385.33213091;;461000.0;0.0;-290680698.00115097;120000000.0;-1371366353.6459756;-710162922.1036284;198893000.0;1731502802.7462015;;;156678751.94188547;736843006.5882332;26525000.0;24500000.0;;16290000.0;;20002551.205418654;;1087939472.5538952;-1031129597.3115207;;29384000.0;5442000.0;0.0;;-205710574.29574582;258879772.07004613;256554948.37394607;674192295.9405935;126151915.15589362;16531554.031045016;13951884.585453514;27486192.860069767;28409766.011714213;410301525.50864017;407975458.47230935;-836000.0;;-507000.0;19993000.0;76819000.0;-58847000.0;6000.0;-1169000.0;17516000.0;-1104000.0;-3269000.0;1816000.0;84652056.02166104;103611522.07366347;;58350000.0;25700000.0;95730650.46090598;3293000.0;4069906193.5771904;843458992.9885066;5579956275.722149;-313762101.0276661;1432412783.2097592;438168635.1529715;839917212.0860779;643754991.8050387;730212308.0812371;1098551373.7935803;52425987.407831416;2934522000.0;314173000.0;;2466287000.0;200888000.0;8092000.0;51408000.0;-2045000.0;-68696000.0;11367500.0;-2438000.0;-59568000.0;550000.0;41657333.333333336;69753000.0;187835125.0;830569614.0435765;5014267812.102552;3430275447.702776;3692402689.7623715;5355630882.638784;40599476.229141645;30340565.201590575;;54479000.0;94000.0;1592000.0;3149000.0;2805000.0;125000.0;-28569212.34119782;6000.0;2499000.0;1798000.0;;;2438000.0;0.0;23010000.0;-701000.0;322037.7583531928;39236625.0;2092796000.0;;21819000.0;123023000.0;82892000.0;-1316620000.0;;-80989998.22851928;700929937.2676218;398342000.0;2658000.0;16511963.37746726;2289000.0;4376910.3007143205;-84073000.0;116815000.0;;16927356021.360321;20499000.0;304000.0;
2012-06-30;11357000.0;4724000.0;57752000.0;1730987000.0;18220000.0;1900000.0;5926000.0;3028330000.0;655330000.0;137885000.0;195033038.9339633;;559000.0;45021000.0;-277043673.11232966;120000000.0;-1390464505.7049434;-727547903.9993188;0.0;1710216898.1042304;;;243284765.6423386;664092725.2498128;25148000.0;23500000.0;;15478000.0;;19851383.657669358;;438998601.24790084;-449397076.0193523;;29384000.0;13284000.0;0.0;;-191611622.68454048;234908042.03135204;234567697.08152157;639525740.1219335;111113531.73464549;14009715.727946367;11621998.224082101;24806488.259277165;25783066.775813334;491406321.43755907;410219895.5244876;261000.0;;-14593000.0;20816000.0;76819000.0;-75859000.0;144000.0;-1115000.0;25544750.0;-1380500.0;-3061750.0;1827000.0;77426258.91356038;73554205.08695118;;55864000.0;19275000.0;89837666.76783805;2319000.0;-10698930427.836014;-1716532907.590763;9391978782.460545;1801792928.8605032;760683330.4826398;768527959.0124817;3520546778.081182;848470501.9685911;730628969.9966686;1775541264.5381238;47327129.9707911;3028330000.0;298141000.0;;2194765000.0;190637000.0;8993500.0;38441000.0;-4031500.0;-54826750.0;74216935.89980781;-2963000.0;-69738000.0;264000.0;27856666.666666668;68449000.0;388098302.49769187;-2062552995.011803;6334524350.804123;-2281370723.382616;5271372679.782778;5117783462.928444;38673702.268195055;33506885.087118037;;67760000.0;74000.0;708000.0;3015000.0;2810750.0;458000.0;-26315789.473684207;264000.0;2262000.0;1463500.0;;;3709500.0;0.0;19103000.0;-526500.0;241163.44648256415;136715456.91285193;2125693000.0;;21088000.0;491299000.0;82892000.0;-1389660000.0;;-80934935.36948857;-1372982944.2867954;;-4007000.0;-279743590.2080577;17639000.0;4028853.2799835773;318272000.0;508909000.0;;18209667052.967674;23340000.0;343000.0;
2012-09-30;2282000.0;29200000.0;138780000.0;2163796000.0;34151000.0;49800000.0;4687000.0;4383725000.0;767414000.0;214995000.0;308929223.0827627;;671000.0;90042000.0;-276403313.63103426;120000000.0;-1323143756.4769433;-664664549.7537272;0.0;1670971679.568892;;;323547648.86797273;591376257.9021246;26525000.0;22500000.0;;15233000.0;;19797861.345878746;;25324852445.20064;-23109085875.289154;;29384000.0;17245000.0;2200000.0;;-180200148.19764665;57200183.04363066;79513220.5501368;390796496.2710206;1830033.8386577964;-9398797.429533675;-10990461.7664585;551078.6320313811;3379557.128976837;442556268.170944;338900767.8421838;287000.0;;0.0;79427000.0;76819000.0;-111815000.0;61000.0;-1061000.0;33573500.0;-1657000.0;-2854500.0;1838000.0;71522817.81577246;382244788.42799467;;45504000.0;12850000.0;130473043.24175215;6597000.0;-27282444309.74948;-4537634687.679772;13692814015.032051;4046323550.649638;48402885.52195215;1099264739.2476997;6520242917.532738;1066424771.9098006;713992528.8242328;2463246662.0392876;63862390.71679054;4383725000.0;168122000.0;;2295939000.0;1268004000.0;9895000.0;25474000.0;-6018000.0;-40957500.0;-187562420.0005561;-2875000.0;-57298000.0;350000.0;14056000.0;120515000.0;-445764337.68311334;-5264865120.177494;7847121731.543511;-8668155953.027805;7073514623.664737;4884940890.081549;40285444.98391212;35779241.82565362;;35152000.0;78000.0;535000.0;2882000.0;2816500.0;-12081000.0;-23423754.3883539;351000.0;2025000.0;1129000.0;460000.0;464608000.0;4981000.0;0.0;15911000.0;-352000.0;0.0;-269182031.32636076;2995052000.0;;11721000.0;500711000.0;267700000.0;-1498661000.0;;-80968052.88615198;-3656485034.4741397;;-292000.0;-598081866.4168841;32989000.0;48344123.81403405;596894000.0;1864898000.0;;15111708617.652088;39115000.0;382000.0;
2012-12-31;12313000.0;15953500.0;190466000.0;2199268000.0;50082000.0;56750000.0;3448000.0;5482772000.0;846498000.0;196518000.0;420207956.8658042;;671000.0;135063000.0;-252163430.93010896;120000000.0;-1303920729.516509;-649977717.1347377;148776500.0;1559449410.855563;;;359392703.9530588;588115847.4055133;25927000.0;21500000.0;15173000.0;15173000.0;310210758.5615679;19779951.566424742;81762000.0;25384502912.495796;-23138092484.37917;;25681000.0;15386500.0;2250000.0;;-106046151.83304358;-195349984.57032323;-204263847.35756034;89810741.48053445;-175367134.9617859;-14882304.128593232;-13932511.046359109;4761530.11854554;-5426662.551470898;291199527.22083503;284666683.6466646;-8590500.0;;0.0;82612500.0;76819000.0;-118262000.0;-9500.0;-1007000.0;41602250.0;-1933500.0;-2647250.0;1849000.0;59400000.0;299776635.18395805;101400000.0;42883000.0;6425000.0;135516002.01156428;5601000.0;3559605714.538929;801098901.6080345;4612381716.527948;615349756.5757942;923114014.353488;749657378.8084753;565802952.193348;422863038.3859947;711940373.03293;1337017329.0315087;59115384.34501602;5482772000.0;229744000.0;;2982112500.0;1681936000.0;10796500.0;12507000.0;-8004500.0;-27088250.0;-308067391.37017953;-5199500.0;-57276500.0;380000.0;14657500.0;126937500.0;-829571109.4244511;764781263.3528264;4043571573.059262;2108379695.341089;3211948595.023008;4286952034.1201553;38694095.091023274;37750996.92119485;;36505500.0;90000.0;1038000.0;2837000.0;2822250.0;-5803000.0;-21220191.41138252;380500.0;1788000.0;794500.0;460000.0;464608000.0;6252500.0;0.0;17028500.0;-177500.0;0.0;-456008800.76046896;3409675500.0;;14404500.0;611397000.0;867400000.0;-1604375500.0;;-80996182.82500462;669080763.6481155;;-428500.0;95259055.93551205;48339000.0;54451510.965175;538961500.0;2220897500.0;;1115063359.7364125;39345000.0;421000.0;
2013-03-31;22344000.0;2707000.0;242152000.0;2234740000.0;66013000.0;63700000.0;2209000.0;6581819000.0;925582000.0;178041000.0;531486690.6488457;;725000.0;180084000.0;-227923548.22918367;120000000.0;-1284697702.5560746;-635290884.5157478;297553000.0;1536256494.2002933;;;405493527.017964;584855436.9088867;25329000.0;20500000.0;15173000.0;15113000.0;310210758.5615679;19762041.78697074;81762000.0;25444153379.79095;-23167099093.469193;;21978000.0;13528000.0;2300000.0;;-78297572.28936875;-78825936.01237077;-94910538.94638187;248192016.10188055;-103925856.26196688;-451302.5388529715;-27722.10493891081;17073293.88308731;6576194.158670664;326512525.2112444;326670111.5778766;-17468000.0;;0.0;85798000.0;76819000.0;-124709000.0;-80000.0;-953000.0;49631000.0;-2210000.0;-2440000.0;1860000.0;59400000.0;217308481.9399215;101400000.0;40262000.0;0.0;140558960.78137645;4605000.0;3363671065.5268764;735009291.8648261;5114771689.373594;851527802.5947742;909146060.9072533;891929840.9913845;681289141.0042815;530853383.4145516;709888217.2416272;1553924554.9156573;54368377.9732414;6581819000.0;291366000.0;5574195000.0;3668286000.0;2095868000.0;11698000.0;-460000.0;-9991000.0;-13219000.0;-309116465.7163054;-7524000.0;-57255000.0;410000.0;15259000.0;133360000.0;-832913483.8677362;703275142.833402;4400280218.832957;2160820250.009508;3519324319.6273956;4628554630.293495;37102745.19813444;39722752.01673608;;37859000.0;102000.0;1541000.0;2792000.0;2828000.0;475000.0;-19016628.43441113;410000.0;1551000.0;460000.0;460000.0;464608000.0;7524000.0;0.0;18146000.0;-3000.0;0.0;-457635730.67117244;3824299000.0;;17088000.0;722083000.0;1467100000.0;-1710090000.0;;-81024312.76385728;613723978.6011255;;-565000.0;76072831.95049822;63689000.0;60558898.11631592;481029000.0;2576897000.0;;3063405988.1263742;39575000.0;460000.0;
