end;AccountsPayableCurrent;AccountsReceivableNetCurrent;AccrualForEnvironmentalLossContingencies;AccruedIncomeTaxesCurrent;AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment;AccumulatedOtherComprehensiveIncomeLossNetOfTax;AdditionalPaidInCapitalCommonStock;AllowanceForDoubtfulAccountsReceivableCurrent;Assets;AssetsCurrent;CashAndCashEquivalentsAtCarryingValue;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;CommonStockValue;ComprehensiveIncomeNetOfTax;ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesNet;CostOfGoodsAndServicesSold;CostsAndExpenses;CostsAndExpensesRelatedParty;CrudeOilAndNaturalGasLiquids;DebtAndCapitalLeaseObligations;DebtCurrent;DebtInstrumentUnamortizedDiscount;DebtInstrumentUnamortizedDiscountPremiumNet;DeferredCreditsAndOtherLiabilitiesNoncurrent;DeferredFinanceCostsNet;DeferredIncomeTaxExpenseBenefit;DeferredIncomeTaxLiabilitiesNet;DeferredTaxLiabilitiesNoncurrent;DepreciationDepletionAndAmortization;DerivativeLiabilityCollateralRightToReclaimCashOffset;DividendsCommonStockCash;DueFromRelatedPartiesCurrent;DueToRelatedPartiesCurrent;EffectOfLIFOInventoryLiquidationOnIncome;EmployeeRelatedLiabilitiesCurrent;EquityMethodInvestments;ExciseAndSalesTaxes;FairValueLiabilitiesMeasuredOnRecurringBasisChangeInUnrealizedGainLoss;FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1;FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue;FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSettlements;GainLossOnDispositionOfAssets;GainsLossesOnExtinguishmentOfDebt;Goodwill;IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest;IncomeLossFromEquityMethodInvestments;IncomeTaxExpenseBenefit;IncomeTaxesPaidNet;IncreaseDecreaseInAccountsPayableAndAccruedLiabilities;IncreaseDecreaseInAccountsReceivable;IncreaseDecreaseInInventories;InterestAndDebtExpense;InterestCostsCapitalizedAdjustment;InterestExpenseDebt;InterestExpenseOther;InterestIncomeExpenseNet;InterestPaidNet;InventoryLIFOReservePeriodCharge;InventoryNet;InvestmentIncomeInterest;Liabilities;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LongTermDebtAndCapitalLeaseObligations;LongTermDebtAndCapitalLeaseObligationsCurrent;MinorityInterest;MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;NetIncomeLossAttributableToNonredeemableNoncontrollingInterest;NetIncomeLossAttributableToRedeemableNoncontrollingInterest;NetIncomeLossAvailableToCommonStockholdersBasic;NetIncomeLossAvailableToCommonStockholdersDiluted;NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest;NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent;OperatingIncomeLoss;OperatingLeaseLiabilityCurrent;OperatingLeaseLiabilityNoncurrent;OperatingLeaseRightOfUseAsset;OtherAssetsCurrent;OtherAssetsNoncurrent;OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax;OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax;OtherComprehensiveIncomeLossNetOfTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansTax;OtherFinancialServicesCosts;OtherInventorySupplies;OtherLiabilitiesCurrent;OtherNonoperatingIncomeExpense;OtherOperatingActivitiesCashFlowStatement;OtherOperatingIncome;PaymentsForProceedsFromOtherInvestingActivities;PaymentsForRepurchaseOfCommonStock;PaymentsOfDebtIssuanceCosts;PaymentsOfDividendsCommonStock;PaymentsToAcquirePropertyPlantAndEquipment;PaymentsToMinorityShareholders;PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent;PreferredStockValue;ProceedsFromIssuanceOfCommonStock;ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet;ProceedsFromPaymentsForOtherFinancingActivities;ProceedsFromSalesOfBusinessAffiliateAndProductiveAssets;ProfitLoss;PropertyPlantAndEquipmentGross;PropertyPlantAndEquipmentNet;RecordedThirdPartyEnvironmentalRecoveriesReceivable;RedeemableNoncontrollingInterestEquityCarryingAmount;RefiningAndMarketingCosts;RefiningAndMarketingRevenue;RelatedPartyTransactionPurchasesFromRelatedParty;RepaymentsOfLongTermDebtAndCapitalSecurities;RestrictedCashCurrent;RetailRelatedInventoryMerchandise;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerExcludingAssessedTax;RevenueFromRelatedParties;SalesAndExciseTaxPayableCurrent;SellingGeneralAndAdministrativeExpense;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;StockIssuedDuringPeriodValueShareBasedCompensation;StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1;TaxesExcludingIncomeAndExciseTaxes;TreasuryStockValue;TreasuryStockValueAcquiredCostMethod;UndistributedContinuingOperationEarningsLossAllocationToParticipatingSecuritiesBasic;UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic;UndistributedEarningsLossAllocatedToParticipatingSecuritiesDiluted;UnrecognizedTaxBenefits
2010-06-30;4909609575.983689;5408000000.0;-35138408.03217068;;;;9172714418.499298;-7845973.624809146;13536900674.18715;921806876105.7816;154000000.0;732216111.0784826;7000000.0;481000000.0;68656200.35300615;212412044.0674948;;-55816438636.303314;15189000000.0;529000000.0;-160542738.39469397;10362470872.1576;;-201639340.68613648;239713370.68548062;-4239972643.9609566;-13980079330.149677;;30374374371.70995;906017329.8416443;269000000.0;;-3640691199.2495847;30593188.15609236;508147264.4080925;0.0;-10054826439.873215;94665288253.82204;1308000000.0;;;;;2000000.0;;;-267351591.1104346;640000000.0;8039821892.175409;18000000.0;235000000.0;5195591.950653121;;;-218000000.0;-3343804572.567518;;5000000.0;;;-4884223763.142296;-20580326044.26452;-90513776716.38136;22596322.234729335;-236846844236.04578;8102891295.827442;233601442713.20984;-102165112003.55107;;3091685707.2338753;963579210.2098105;9366517312.096607;;-5767945156.78014;220793702.6301177;68656200.35277024;-315753152.62575155;114317284.21133837;386152042.34869504;-855381348.8024045;-94959449.99563037;;721000000.0;-3128170436.2090883;-119214659925.5882;-118793524462.0959;;-4597367668.648048;13272014.818117741;;;150997132.3128169;;154951556.14064944;117790593996.02386;-34879020430.18962;-2000000.0;-760431958.8067052;10000000.0;-3544290497.422383;3044608950.205455;;-1606006296.1858106;-26471916520.28441;52702468253.74969;;;15930225.140634615;8670194201.367584;-8640016396.177004;;46034869436.99134;-1039157535310.9525;-265686782020.02686;-3223646874.6141477;996463296.9609025;12792000000.0;15762000000.0;-33338533.706591845;5468999277.477532;104999270.92528315;-71730140604.96109;1578195633555.1367;164159482431.32697;33000000.0;;228000000.0;8693000000.0;1097902213154.8053;;;63000000.0;-1219037512226.6113;225554690222.31827;228573463.36185175;;;-439671376.4977431
2010-09-30;4071067466.9994392;5408000000.0;-54483296.18396568;;;;8961323479.548607;10869069.634325404;10628908472.259995;934369833136.7487;117000000.0;666979056.0590205;7000000.0;270000000.0;58655524.833509505;113063062.86084145;;68389994174.6051;15485000000.0;712000000.0;-319715237.0244427;9061460796.523972;;-190083517.19836697;158170220.71613774;-4288701397.03419;-14160004099.815508;-12000000.0;30858152250.006126;-4994256936.092697;234000000.0;;-3666391746.481072;27027767.343066163;118656732.35988425;0.0;-10154544158.708961;91149271503.77243;1351000000.0;;;;;5000000.0;;;-292705333.03580874;439000000.0;18194738355.880013;18000000.0;162000000.0;-19972118.744369037;299000000.0;471000000.0;-336000000.0;-3724116172.667098;;5000000.0;;-11000000.0;-4896390086.06345;-21417020662.67901;-114497047184.07312;5928493.553387212;-247953803538.81915;5054096314.742709;264148671492.19327;-120802820882.12473;;27463170721.502686;-143891382.09390086;-330000000.0;-484000000.0;915000000.0;411293046.1616385;-303405209.75186574;-343858580.62462425;27911196.602268443;405331361.4458224;-880241370.0786475;67434465.53701241;;496000000.0;-2725985832.2599754;-214701389175.91052;-230912039762.33185;;-16197280212.676998;6540185.360449158;;;155622520.23924777;;236817426.98775372;125079055612.72879;-41451326619.286674;-2000000.0;1000000.0;8000000.0;-9568938679.698034;-39889627083.75667;37000000.0;-993822595.0461285;243000000.0;59677749194.12012;;;22602011.97391694;2720542502.2698617;-9773665596.940123;125000000.0;107442151470.94269;-1120763862328.898;-302338892032.8956;-5475214850.9605055;996606568.345699;12903000000.0;15870000000.0;122879094.8846405;1700991658.0807593;244193687.44514856;-80919644481.51617;1705848269899.1917;-581063370420.1581;27000000.0;;226000000.0;8485000000.0;1241705388643.4456;;;59000000.0;-1348085641600.8438;384394267525.1288;376989248.5149719;;;291412282.84866583
2010-12-31;7313000000.0;5041000000.0;125000000.0;927565628.2383957;5431000000.0;-596000000.0;9407025596.98458;4000000.0;23964000000.0;10513000000.0;168000000.0;532090650.0743375;4000000.0;405500000.0;-9397517.6082924;758838105.6555607;;16849165694.955467;16268500000.0;748500000.0;1452000000.0;8798603789.591505;;11000000.0;446385413.5052301;304000000.0;44429296.75438765;-12000000.0;3122832841.79819;1383000000.0;225000000.0;;22328033.3681474;1000000.0;16000000.0;500000.0;222000000.0;323000000.0;1280000000.0;;-1000000.0;;;3000000.0;;842000000.0;395951991.67133045;630500000.0;-395718375530.0863;13500000.0;227500000.0;68983441.50505759;299000000.0;471000000.0;-336000000.0;-103135574.74707377;;18000000.0;;-11000000.0;-164736008.01758566;-2384655569.809263;3679000000.0;1000000.0;14987000000.0;23964000000.0;8549000000.0;4496615040.176477;;755540647.0828109;-61400148.25998467;-330000000.0;-484000000.0;915000000.0;-2005652515.7995222;78135502.20708299;325451254.80723286;-9509064.430498445;802000000.0;802000000.0;-1680201260.9922132;;691000000.0;-558988897.7082589;57873919650.13971;59098500764.607796;170000000.0;351000000.0;-3200166.764527956;;26000000.0;-19296572.82022994;;7918602.61109053;630062241.2637866;247000000.0;-2500000.0;1000000.0;13500000.0;1355537558.866966;12985626636.983418;37000000.0;52307467051.68138;243000000.0;135491211557.55891;1489000000.0;;22961334.772883702;5648318945.896648;-35677874362.28852;125000000.0;5938022678.000132;17366000000.0;11935000000.0;54000000.0;997674004.6990924;13730000000.0;16844500000.0;190532944.3014972;3555198342.002967;-15952769.579729024;-74315848747.75311;5882598822982.723;213033065526.49298;25000000.0;303000000.0;221500000.0;8244000000.0;-1806299351930.0364;;;63500000.0;-2906298230815.047;-45884282328.15192;-44913209.63756758;;;1000000.0
2011-03-31;7313000000.0;5041000000.0;125000000.0;983000000.0;5431000000.0;-596000000.0;9404034027.701803;4000000.0;23964000000.0;10513000000.0;219000000.0;397202244.08965445;4000000.0;541000000.0;-4183842.741672516;857338993.0063573;;17292233182.33053;17052000000.0;785000000.0;1452000000.0;8585638312.309336;;11000000.0;456384545.27378255;304000000.0;52805550.18948251;-12000000.0;3083571553.194999;1383000000.0;216000000.0;;34269447.95421585;1000000.0;16000000.0;1000000.0;222000000.0;323000000.0;1209000000.0;;-1000000.0;;;1000000.0;;842000000.0;395221307.59629214;822000000.0;-395537518534.29266;9000000.0;293000000.0;72069602.09177698;299000000.0;471000000.0;-336000000.0;-56446028.234258056;;31000000.0;;-11000000.0;-144307964.80362827;-2459983155.8317165;3679000000.0;1000000.0;14987000000.0;23964000000.0;8549000000.0;5041627404.732781;;596673568.7792532;-27964958.2867586;-330000000.0;-484000000.0;915000000.0;-1937511335.8486605;62995347.31922549;325200771.0524719;-9509064.430498445;802000000.0;802000000.0;-1612310564.796114;;886000000.0;-559325976.7661884;57863490623.202866;59087317504.78224;170000000.0;351000000.0;-3231376.433711458;;26000000.0;-20355134.38766946;;8211067.132520987;729933257.8306704;247000000.0;-3000000.0;1000000.0;19000000.0;1356526673.6027095;12990423277.471117;37000000.0;52142162021.03972;243000000.0;135009703325.96817;1489000000.0;;23010389.17394494;5810937341.203306;-23757348502.67464;125000000.0;6025035247.260982;17366000000.0;11935000000.0;54000000.0;998741441.0524858;14557000000.0;17819000000.0;190532944.3014972;3658187119.0875974;-16252495.836768564;-74121848325.00632;1062000000.0;213385406265.012;23000000.0;303000000.0;217000000.0;9036000000.0;1329342444772.727;;;68000000.0;-1483842877052.689;-79117556524.07863;-77877642.61801249;;;1000000.0
2011-06-30;7313000000.0;5041000000.0;125000000.0;983000000.0;5431000000.0;-596000000.0;9410000000.0;4000000.0;23964000000.0;10513000000.0;1622000000.0;1424338908.477733;4000000.0;828000000.0;0.0;613000000.0;;18306822691.24627;19469000000.0;981000000.0;1452000000.0;8594336889.390617;;11000000.0;357866415.7824476;304000000.0;72115874.90363449;56000000.0;3038978804.0693655;1383000000.0;218000000.0;248470.8084174022;87000000.0;1000000.0;16000000.0;0.0;222000000.0;323000000.0;1269000000.0;;-1000000.0;0.0;;4000000.0;;842000000.0;901259870.7791166;1333000000.0;-394989562899.85547;17000000.0;531000000.0;19000000.0;88666666.66666666;449333333.3333333;-213333333.3333333;22000000.0;30000000.0;38000000.0;;-13000000.0;48000000.0;14241750034.812485;3679000000.0;1000000.0;14987000000.0;23964000000.0;8549000000.0;3549539573.254369;;-49406379.50386095;-65035210.96456006;-523333333.3333334;-426333333.3333333;725666666.6666666;-1785278771.309047;0.0;827270202.0010562;-1399412.708120076;802000000.0;802000000.0;-958008569.3079224;;1394000000.0;549380553.1726516;9237048080.375917;14253059194.73766;170000000.0;351000000.0;-10245411.76473181;;26000000.0;-22331147.512916792;;7649882.57983263;-790004519.003638;247000000.0;-3000000.0;12000000.0;13000000.0;-3000000.0;850000000.0;24666666.666666664;87000000.0;265000000.0;0.0;1489000000.0;;27000000.0;1472647343.5491345;3000000.0;84000000.0;5199465480.7954445;17366000000.0;11935000000.0;54000000.0;1001448108.5652623;16654000000.0;20732000000.0;63000000.0;3000000.0;-18150895.899897378;65000000.0;1062000000.0;40002219792.13608;28000000.0;303000000.0;288000000.0;8977000000.0;9216000000.0;33000000.0;;59000000.0;743000000.0;850000000.0;763226.0113675948;;;1000000.0
2011-09-30;6974000000.0;4913000000.0;120000000.0;983000000.0;5634000000.0;-601000000.0;9410000000.0;4000000.0;25225000000.0;11669000000.0;2957000000.0;2803910321.822592;4000000.0;1128000000.0;0.0;613000000.0;;18141177026.543022;18894000000.0;80000000.0;1576000000.0;3327000000.0;19000000.0;-11000000.0;129733212.60496762;284000000.0;82456487.20159143;124000000.0;2079151533.4799929;1473000000.0;227000000.0;248470.80841741338;87000000.0;1000000.0;14000000.0;0.0;267000000.0;321000000.0;1329000000.0;;0.0;0.0;;5000000.0;;842000000.0;1241937673.7155457;1744000000.0;-388905191712.1467;15000000.0;611000000.0;19000000.0;-121666666.66666669;427666666.6666667;-90666666.66666666;22000000.0;30000000.0;45000000.0;;-16000000.0;48000000.0;23984201510.918224;3615000000.0;1000000.0;15176000000.0;25225000000.0;8612000000.0;3316000000.0;155405969.21291846;-302339546.8223369;-47007338.76752892;-716666666.6666667;-368666666.6666667;536333333.3333333;-1427717294.8371449;0.0;1164973845.6548243;-874382.7555287052;1131000000.0;1131000000.0;-262743449.18225527;;1852000000.0;546668490.2348623;9144041050.331583;14080676337.600372;183000000.0;367000000.0;-10881430.891373202;;-5000000.0;-22021822.02587164;;6187527.4747861065;261853909.92203677;125000000.0;-5000000.0;23000000.0;17000000.0;-3000000.0;850000000.0;12333333.333333332;87000000.0;287000000.0;0.0;1522000000.0;;27000000.0;212932131.50979722;3000000.0;43000000.0;5508998252.863743;17660000000.0;12026000000.0;53000000.0;1001760465.9987825;16896000000.0;20614000000.0;63000000.0;3000000.0;-17785647.219556376;65000000.0;1062000000.0;39360336479.49154;2000000.0;235000000.0;299000000.0;10049000000.0;9216000000.0;33000000.0;;63000000.0;743000000.0;850000000.0;730756.2761884159;;;11500000.0
2012-03-31;7803000000.0;5867000000.0;117000000.0;582000000.0;6063000000.0;-862000000.0;9410000000.0;2000000.0;25306000000.0;11580000000.0;2205000000.0;1898038457.726453;4000000.0;613000000.0;0.0;613000000.0;;18730409867.71289;19319000000.0;63000000.0;1253000000.0;3327000000.0;19000000.0;10000000.0;107056058.46676435;267000000.0;96282101.41801018;192000000.0;1914172345.289935;1509000000.0;230000000.0;248470.80841739103;87000000.0;1333333.3333333333;14000000.0;0.0;261000000.0;302000000.0;1380000000.0;;1000000.0;0.0;;2000000.0;;842000000.0;946375447.7394779;934000000.0;-364001596351.9192;2000000.0;338000000.0;19000000.0;-332000000.0;406000000.0;32000000.0;22000000.0;30000000.0;46000000.0;;-45000000.0;48000000.0;16288591175.560204;3352000000.0;1000000.0;16090000000.0;25306000000.0;9201000000.0;3316000000.0;155405969.21291846;141603279.61180258;-95090855.42022386;-910000000.0;-311000000.0;347000000.0;-1602788285.571492;0.0;907548067.3143265;-258920.1132818237;971500000.0;971500000.0;-695240218.2570994;;1369000000.0;538613679.5730767;8568774281.682865;13234528657.2504;156000000.0;336000000.0;-11510618.836529566;;17000000.0;-21399659.280356146;;7212390.621937253;285481502.1164109;201000000.0;-7000000.0;34000000.0;6000000.0;-3000000.0;850000000.0;0.0;87000000.0;309000000.0;0.0;1809000000.0;;27000000.0;89018918.4838984;3000000.0;2000000.0;4930600280.3222;18309000000.0;12246000000.0;49000000.0;1002309027.6072376;17321000000.0;20264000000.0;63000000.0;3000000.0;-16701041.537604094;65000000.0;1407000000.0;40115865138.68714;1000000.0;337000000.0;251000000.0;9216000000.0;9216000000.0;33000000.0;;74000000.0;743000000.0;850000000.0;768974.7732285042;;;22000000.0
2012-06-30;6155000000.0;4708000000.0;119000000.0;604000000.0;6275000000.0;-497000000.0;9426000000.0;2000000.0;24681000000.0;10706000000.0;1895000000.0;1684313798.2030756;4000000.0;1179000000.0;0.0;1179000000.0;;17735132753.365356;18950000000.0;57000000.0;2154000000.0;3327000000.0;19000000.0;10000000.0;160980976.62040582;300000000.0;79015051.87894785;130000000.0;2427203906.892096;1823000000.0;236000000.0;-2590049.782637298;96666666.66666667;1666666.6666666665;14000000.0;0.0;225000000.0;302000000.0;1428000000.0;;2000000.0;0.0;;1000000.0;;925000000.0;158780704.72410744;1290000000.0;42889638178.70255;9000000.0;476000000.0;11000000.0;609000000.0;565333333.3333334;193666666.66666666;17000000.0;36000000.0;47500000.0;;-46000000.0;59666666.666666664;-12151129549.585608;4030000000.0;1000000.0;14355000000.0;24681000000.0;7568000000.0;3316000000.0;155405969.2129187;412000000.0;4000000.0;-780000000.0;-768000000.0;924333333.3333334;1270529136.101728;0.0;41501232.03130406;-620038.4117053933;812000000.0;812000000.0;1312030368.1330218;;886000000.0;805058723.7547617;-2506445244.0644026;-2104841820.9077792;73000000.0;334000000.0;-13000000.0;76000000.0;365000000.0;-22000000.0;3000000.0;6984411.262372907;275000000.0;204000000.0;-7000000.0;20000000.0;4000000.0;-6333333.333333334;710333333.3333334;666666.6666666666;96666666.66666667;271000000.0;1333333.3333333333;1348000000.0;0.0;27333333.333333332;0.0;5333333.333333334;2333333.3333333335;2219882240.9100466;18689000000.0;12414000000.0;48000000.0;1001636555.6119314;16800000000.0;20240000000.0;57000000.0;3666666.6666666665;6654966.791743071;87000000.0;2136000000.0;29778796377.0866;3000000.0;361000000.0;365000000.0;10326000000.0;10326000000.0;30000000.0;;64000000.0;743000000.0;710333333.3333334;200148.34787438437;;;38000000.0
2012-09-30;6951000000.0;5101000000.0;118000000.0;709000000.0;6519000000.0;-489000000.0;9563000000.0;2000000.0;26583000000.0;12516000000.0;3387000000.0;3195951951.8454723;4000000.0;1232000000.0;0.0;1232000000.0;;18657460437.588844;19354000000.0;84000000.0;1589000000.0;3342000000.0;20000000.0;10000000.0;147677222.81640574;255000000.0;70265602.24447957;68000000.0;2339917642.258521;1954000000.0;246000000.0;10183292.87710885;106333333.33333333;2000000.0;14000000.0;0.0;287000000.0;300000000.0;1463000000.0;-11000000.0;0.0;0.0;;175000000.0;;930000000.0;117460633.94953184;1870000000.0;-15248121263.66568;7000000.0;646000000.0;3000000.0;1550000000.0;724666666.6666667;355333333.3333333;32500000.0;29000000.0;49000000.0;;-18000000.0;71333333.33333333;-19474649246.857677;3889000000.0;1000000.0;15116000000.0;26583000000.0;8308000000.0;3329000000.0;156367497.14818677;412000000.0;4000000.0;-650000000.0;-1225000000.0;1501666666.6666667;1117973206.8142252;0.0;-120317956.40464115;2814723.6861770246;1222000000.0;1222000000.0;997655250.4095902;;403000000.0;740276979.7764859;-961873388.233577;36625525.70703071;139000000.0;305000000.0;-13000000.0;76000000.0;8000000.0;-22000000.0;3000000.0;6312354.066697077;275000000.0;77000000.0;-7000000.0;6000000.0;18000000.0;-9666666.666666668;570666666.6666667;1333333.3333333333;106333333.33333333;233000000.0;2666666.6666666665;1270000000.0;0.0;27666666.666666668;0.0;7666666.666666667;2666666.6666666665;2777931697.7012987;19051000000.0;12532000000.0;49000000.0;1002155430.3568699;17202000000.0;21047000000.0;84000000.0;4333333.333333333;28209834.010860436;67000000.0;3241000000.0;26115596426.519516;2000000.0;264000000.0;293000000.0;11467000000.0;11467000000.0;27000000.0;;66000000.0;852000000.0;570666666.6666667;-31079.71864108625;1000000.0;1000000.0;28000000.0
2013-03-31;8872000000.0;5509000000.0;134000000.0;965000000.0;7040000000.0;-382000000.0;9676000000.0;9000000.0;30773000000.0;15297000000.0;4737000000.0;3997507864.0463433;4000000.0;807000000.0;5000000.0;812000000.0;;21723751851.137363;22189000000.0;72000000.0;2117000000.0;3411000000.0;22000000.0;10000000.0;126310500.27677202;931000000.0;81477241.34630099;6000000.0;2366160333.776822;2094000000.0;287000000.0;0.0;116000000.0;2333333.333333333;14000000.0;0.0;316000000.0;327000000.0;1458000000.0;-11000000.0;0.0;600000000.0;;1000000.0;;930000000.0;-141264439.4956617;1108000000.0;-1454083354.7183075;0.0;378000000.0;-5000000.0;2491000000.0;884000000.0;517000000.0;48000000.0;4000000.0;48000000.0;;-42000000.0;83000000.0;-24427299224.37738;4879000000.0;2000000.0;18361000000.0;30773000000.0;10728000000.0;3394000000.0;158290553.0187219;412000000.0;4000000.0;-520000000.0;-1682000000.0;2079000000.0;749311561.6968197;5000000.0;-340586621.93032604;-7952891.334762969;724000000.0;724000000.0;408724939.76649606;;-80000000.0;771853174.1638308;-1392286185.8927805;-569425150.099243;172000000.0;369000000.0;-13000000.0;76000000.0;82000000.0;-22000000.0;3000000.0;7377390.509283178;275000000.0;152000000.0;-6000000.0;-8000000.0;14000000.0;-13000000.0;431000000.0;2000000.0;116000000.0;195000000.0;4000000.0;1214000000.0;0.0;28000000.0;0.0;10000000.0;3000000.0;2104714844.5293026;20890000000.0;13850000000.0;51000000.0;1005810786.7689745;20034000000.0;23330000000.0;72000000.0;5000000.0;3968238.324587415;71000000.0;4489000000.0;33521231260.318947;2000000.0;401000000.0;249000000.0;12000000000.0;12412000000.0;24000000.0;;89000000.0;1787000000.0;431000000.0;297610.3917307521;1000000.0;1000000.0;41000000.0
