end;AccountsPayableAndAccruedLiabilitiesCurrent;AccruedIncomeTaxesCurrent;AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment;AccumulatedOtherComprehensiveIncomeLossNetOfTax;AllowanceForDoubtfulAccountsReceivableCurrent;AmortizationOfIntangibleAssets;Assets;AssetsCurrent;Cash;CashAndCashEquivalentsAtCarryingValue;CommonStockValue;ComprehensiveIncomeNetOfTax;ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;CostOfGoodsAndServicesSold;CurrentFederalTaxExpenseBenefit;CurrentForeignTaxExpenseBenefit;CurrentIncomeTaxExpenseBenefit;CurrentStateAndLocalTaxExpenseBenefit;DebtInstrumentCarryingAmount;DebtInstrumentFairValue;DeferredFederalIncomeTaxExpenseBenefit;DeferredForeignIncomeTaxExpenseBenefit;DeferredIncomeTaxExpenseBenefit;DeferredRevenue;DeferredStateAndLocalIncomeTaxExpenseBenefit;DeferredTaxAssetsNet;DeferredTaxAssetsNetCurrent;DeferredTaxAssetsOperatingLossCarryforwardsDomestic;DeferredTaxAssetsOther;DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits;DeferredTaxLiabilitiesNoncurrent;Depreciation;DepreciationDepletionAndAmortization;DerivativeFairValueOfDerivativeAsset;DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet;DividendsCash;DividendsPayableCurrent;FiniteLivedIntangibleAssetsAccumulatedAmortization;FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths;FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear;FiniteLivedIntangibleAssetsAmortizationExpenseYearFive;FiniteLivedIntangibleAssetsAmortizationExpenseYearFour;FiniteLivedIntangibleAssetsAmortizationExpenseYearThree;FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo;FiniteLivedIntangibleAssetsGross;FiniteLivedIntangibleAssetsNet;ForeignCurrencyCashFlowHedgeGainLossToBeReclassifiedDuringNext12Months;GeneralAndAdministrativeExpense;Goodwill;HeldToMaturitySecuritiesNoncurrent;IncomeLossFromContinuingOperations;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments;IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest;IncomeLossFromDiscontinuedOperationsNetOfTax;IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions;IncomeTaxExpenseBenefit;IncreaseDecreaseInAccountsPayableAndAccruedLiabilities;IncreaseDecreaseInAccruedIncomeTaxesPayable;IncreaseDecreaseInInventories;IncreaseDecreaseInOtherCurrentAssets;IncreaseDecreaseInOtherNoncurrentAssets;IncreaseDecreaseInOtherOperatingCapitalNet;IncreaseDecreaseInOtherOperatingLiabilities;IncreaseDecreaseInReceivables;IntangibleAssetsNetExcludingGoodwill;InterestExpense;InventoryFinishedGoods;InventoryNet;InventoryRawMaterialsAndSupplies;InventoryWorkInProcess;InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures;Liabilities;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LineOfCreditFacilityMaximumBorrowingCapacity;LineOfCreditFacilityRemainingBorrowingCapacity;LongTermDebtCurrent;LongTermDebtNoncurrent;MarketableSecuritiesCurrent;MinorityInterest;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;NetIncomeLossAvailableToCommonStockholdersBasic;NetIncomeLossAvailableToCommonStockholdersDiluted;OperatingIncomeLoss;OtherAssetsCurrent;OtherAssetsNoncurrent;OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent;OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax;OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax;OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax;OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax;OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansPlanAmendmentsTaxEffect;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax;OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax;OtherLiabilitiesNoncurrent;OtherLongTermDebtNoncurrent;PaymentsForProceedsFromOtherInvestingActivities;PaymentsForRepurchaseOfEquity;PaymentsOfDividends;PaymentsToAcquirePropertyPlantAndEquipment;PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent;ProceedsFromIssuanceOfLongTermDebt;ProceedsFromRepaymentsOfShortTermDebt;ProceedsFromStockOptionsExercised;ProceedsFromStockPlans;ProfitLoss;PropertyPlantAndEquipmentGross;PropertyPlantAndEquipmentNet;ReceivablesNetCurrent;RepaymentsOfLongTermDebt;ResearchAndDevelopmentExpense;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerExcludingAssessedTax;Revenues;SegmentReportingInformationRevenue;ShareBasedCompensation;ShortTermBorrowings;ShortTermInvestments;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;StockholdersEquityOther;StockIssuedDuringPeriodValueEmployeeStockPurchasePlan;StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures;StockIssuedDuringPeriodValueShareBasedCompensation;StockIssuedDuringPeriodValueStockOptionsExercised;TreasuryStockValue;TreasuryStockValueAcquiredCostMethod;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations;StockPrice
2008-06-30;;1415184318.2167182;;-2767378033.523138;;;;;;186000000.0;7220390295.670906;321347079.38076943;;872000000.0;4609000000.0;;53369227.517097;1899124912.2370837;;;;;;78000000.0;3142686738.319018;;-414016815.7960177;;374872982.7788216;-304725290.83068323;;;;609000000.0;;;251000000.0;269118463.56900835;;-1345505158.4316268;;430223040.87705857;;410586715.02713984;439361271.5202756;-2230668431.487217;2923561108.854271;;146000000.0;;;1420000000.0;3622838729.726293;1192000000.0;1539000000.0;0.0;55000000.0;378000000.0;-285000000.0;-42000000.0;118000000.0;;;21000000.0;23000000.0;429000000.0;2630660136.258287;61000000.0;-177534509.12813;;;;1912035787.3592412;;;8748311343.996569;4854335070.299613;;;9964283430.378635;;1241530637.8859951;671000000.0;-1217000000.0;551000000.0;1420000000.0;13000000.0;-4507048441.013518;3041675643.593482;;228401919.8795136;16194724.4876599;;;9686947.435368486;40165508.29688297;;;;8282411.9466023;;;;;;-6634130188.197571;-66000000.0;11092881.766326442;251000000.0;748000000.0;;1287000000.0;137000000.0;14000000.0;1000000.0;1539000000.0;;6419936912.996397;;521000000.0;197000000.0;;6166088623.912342;6746000000.0;5367688532.488112;47000000.0;287840201.43215454;;16109694126.731598;17871000000.0;5000000.0;70000000.0;76669632.11633804;47000000.0;14000000.0;5305932630.381292;-91722223.40749349;275688299432.95667;74.45513153076172
2008-09-30;;2008065939.720478;;-2363000000.0;149000000.0;28000000.0;32960000000.0;13655000000.0;216000000.0;189000000.0;4718000000.0;700669457.1809517;;872000000.0;4967000000.0;-20000000.0;169000000.0;148000000.0;-1000000.0;;;-2000000.0;6000000.0;78000000.0;2677677164.514394;-1107734.8066298342;-13231910202.870096;162000000.0;102006212.04630908;332160246.83794546;;;537000000.0;609000000.0;;;251000000.0;236581157.7727581;;219378769.7272505;;779887258.3085284;;133031142.53194734;499415568.9810464;2394542962.8725243;4647481383.664696;;150000000.0;5266000000.0;464000000.0;1526000000.0;1281620684.4262187;1192000000.0;1539000000.0;0.0;55000000.0;418000000.0;-285000000.0;-42000000.0;118000000.0;;301410573.2355772;21000000.0;23000000.0;429000000.0;857000000.0;61000000.0;2164413697.417878;2021000000.0;;;1985000000.0;14226000000.0;32960000000.0;7461000000.0;4846572546.086368;;831000000.0;6365207595.410273;4220799787.150156;107000000.0;671000000.0;-1217000000.0;551000000.0;1526000000.0;13000000.0;613000000.0;615000000.0;;954000000.0;374000000.0;;;14479928.244314976;40186159.76480285;436432106.408597;841785926.5824811;232206186.88134372;1953410.634239696;40838085.110663965;;;;878000000.0;4291000000.0;-66000000.0;11092881.766326442;251000000.0;748000000.0;;1287000000.0;137000000.0;14000000.0;1000000.0;1539000000.0;;9688000000.0;6107000000.0;521000000.0;208000000.0;20940000000.0;14638461836.866247;7259000000.0;5528000000.0;47000000.0;282694589.4730884;4195000000.0;18627000000.0;17871000000.0;5000000.0;70000000.0;23861712.27107747;47000000.0;14000000.0;4668000000.0;-110704976.39269294;10602449829.711466;54.2386474609375
2009-03-31;4736000000.0;929000000.0;;-2363000000.0;149000000.0;28000000.0;32960000000.0;13655000000.0;216000000.0;192000000.0;4718000000.0;954206804.2361104;;872000000.0;4510000000.0;-20000000.0;169000000.0;148000000.0;-1000000.0;;;-2000000.0;6000000.0;78000000.0;1802040860.298753;3000000.0;-16163131098.744816;162000000.0;104326948.9841944;218874012.1783011;324429260.95462537;;537000000.0;609000000.0;;104000000.0;251000000.0;250000000.0;;75300810.86154962;;783825605.5851117;;133045040.28655478;504330000.448066;2314941988.7111497;4633769565.663964;;130000000.0;5266000000.0;464000000.0;1069500000.0;988764277.7054594;1192000000.0;1289000000.0;0.0;55000000.0;252000000.0;-285000000.0;-42000000.0;118000000.0;;301410573.2355772;21000000.0;23000000.0;429000000.0;857000000.0;55000000.0;2677745875.463475;2021000000.0;;;1985000000.0;14226000000.0;32960000000.0;7461000000.0;4715889860.221598;;831000000.0;6869918519.911728;4220799787.150155;107000000.0;671000000.0;-1217000000.0;551000000.0;938000000.0;2000000.0;613000000.0;615000000.0;;954000000.0;374000000.0;;;15272120.299072556;40533828.79882821;436432106.4085971;841785926.5824811;232206186.88134372;-9801235.864596978;40838085.110663965;;;;878000000.0;4291000000.0;-66000000.0;11092881.766326442;251000000.0;748000000.0;1293000000.0;1287000000.0;137000000.0;14000000.0;1000000.0;940000000.0;;9688000000.0;6107000000.0;521000000.0;190000000.0;20940000000.0;14638461836.866247;6000000000.0;5528000000.0;47000000.0;284816712.1673795;4195000000.0;18627000000.0;17685000000.0;5000000.0;70000000.0;23858045.31465441;47000000.0;14000000.0;4668000000.0;-113400616.21776992;-1813849062.0596552;28.472978591918945
2009-06-30;4736000000.0;929000000.0;;-2363000000.0;149000000.0;28000000.0;32960000000.0;13655000000.0;216000000.0;216000000.0;4718000000.0;956149412.0735992;;820000000.0;4432000000.0;-20000000.0;169000000.0;148000000.0;-1000000.0;;;-2000000.0;6000000.0;4000000.0;1802040860.298753;3000000.0;572088038.3432533;162000000.0;101110892.49864392;12535305.860033274;324429260.9546253;;537000000.0;612666666.6666666;;104000000.0;83666666.66666666;250000000.0;;-59815692.60218823;;790983464.7294074;;133070299.14843673;510058359.2688009;2252215026.5804896;4626514770.366013;;131000000.0;5266000000.0;464000000.0;613000000.0;771139398.3726864;767000000.0;1039000000.0;0.0;52333333.333333336;152000000.0;-289666666.6666667;-28333333.333333336;73000000.0;;301410573.2355772;81333333.33333334;4666666.666666668;244333333.3333333;857000000.0;61000000.0;-149212729.61135626;2021000000.0;;;1985000000.0;14226000000.0;32960000000.0;7461000000.0;4672617248.167723;;831000000.0;7642901442.27162;4220799787.150156;107000000.0;191666666.6666667;-877666666.6666667;697000000.0;613000000.0;2000000.0;613000000.0;615000000.0;;954000000.0;374000000.0;;;13905052.635655483;40648951.52631863;436432106.4085971;841785926.5824811;232206186.88134372;-9506792.11041183;40838085.110663965;;;;878000000.0;4291000000.0;-42333333.33333333;337000000.0;252000000.0;648333333.3333334;1293000000.0;1444833333.3333333;30666666.66666667;19666666.666666668;28666666.666666668;615000000.0;;9688000000.0;6107000000.0;383666666.6666666;197000000.0;20940000000.0;13975763032.194162;5528000000.0;5528000000.0;47000000.0;179000000.0;4195000000.0;18627000000.0;18734000000.0;2666666.6666666665;74666666.66666667;37972363.43637528;47000000.0;19666666.666666668;4668000000.0;-337000000.0;-1964532515.7891588;38.068607330322266
2009-09-30;4736000000.0;929000000.0;12622000000.0;-2298000000.0;149000000.0;29000000.0;33075000000.0;13382000000.0;194000000.0;521000000.0;4746000000.0;890185244.922199;;768000000.0;4144000000.0;-67000000.0;82000000.0;14000000.0;-1000000.0;3707000000.0;4000000000.0;76000000.0;81000000.0;18500000.0;1548390776.664266;3000000.0;347000000.0;158000000.0;72381308.74239385;101000000.0;392000000.0;;542000000.0;616333333.3333334;42000000.0;104000000.0;-83666666.66666669;250000000.0;591000000.0;4377191490.079635;;197882122.51971853;;131820543.62594566;213609810.16811717;-2056384875.442315;-1621845528.5862122;41000000.0;128000000.0;5296000000.0;625000000.0;787000000.0;993000000.0;980000000.0;789000000.0;0.0;49666666.66666666;191000000.0;-294333333.3333333;-14666666.666666668;28000000.0;;300671273.77327406;141666666.6666667;-13666666.666666664;59666666.66666669;813000000.0;54000000.0;116000000.0;1967000000.0;1665000000.0;84000000.0;2243000000.0;13612000000.0;33075000000.0;7115000000.0;4638828375.381141;;596000000.0;2064271939.5465195;3500000000.0;108000000.0;-287666666.6666666;-538333333.3333334;843000000.0;787000000.0;2000000.0;787000000.0;789000000.0;;941000000.0;504000000.0;;;14693985.306138914;40738843.65460464;445559585.1481938;858819810.3235588;231334473.6395945;-10390123.37296727;40690028.59127376;;;-52959448.65606484;892000000.0;4312000000.0;-18666666.666666664;337000000.0;253000000.0;548666666.6666666;1293000000.0;1602666666.6666667;-75666666.66666666;25333333.333333336;56333333.333333336;789000000.0;22279000000.0;9610000000.0;6087000000.0;246333333.3333333;198000000.0;21475000000.0;13690387243.809105;5430000000.0;5430000000.0;47000000.0;179000000.0;4035000000.0;19355000000.0;19463000000.0;333333.333333333;79333333.33333333;-170004832.47611365;47000000.0;25333333.333333336;4568000000.0;-337000000.0;-385769985.0209732;42.085113525390625
2010-03-31;4705000000.0;865000000.0;12622000000.0;-2632000000.0;144000000.0;32000000.0;32883000000.0;13065000000.0;271000000.0;640000000.0;4841000000.0;841004279.3323574;;716000000.0;4343000000.0;22000000.0;156000000.0;181000000.0;3000000.0;3707000000.0;4000000000.0;42000000.0;-10000000.0;33000000.0;1560099501.8167982;2000000.0;347000000.0;154000000.0;63613599.90629147;101000000.0;392000000.0;1557000000.0;547000000.0;620000000.0;42000000.0;-136000000.0;-251000000.0;250000000.0;591000000.0;4238813646.4546623;;184854534.3614049;;130586380.60855363;212286194.5737111;-1785297929.7578993;-1335108212.7845411;41000000.0;72000000.0;5397000000.0;708000000.0;672000000.0;993000000.0;888000000.0;802500000.0;46600000.0;47000000.0;214000000.0;-299000000.0;-1000000.0;-17000000.0;;309824505.2113128;202000000.0;-32000000.0;-125000000.0;840000000.0;45000000.0;116000000.0;1851000000.0;1665000000.0;84000000.0;2360000000.0;13344000000.0;32883000000.0;6754000000.0;4678688337.2550335;;456000000.0;2040108837.2680252;3500000000.0;111000000.0;-767000000.0;-199000000.0;989000000.0;672000000.0;2000000.0;802500000.0;674000000.0;;885000000.0;334000000.0;;;12913185.802763611;40632799.96297646;429912478.73745656;829618866.7674257;242127113.7755377;-25450991.59504308;42523109.307533294;;;-52959448.65606484;915000000.0;4052000000.0;5000000.0;337000000.0;254000000.0;449000000.0;1623000000.0;1760500000.0;-182000000.0;31000000.0;84000000.0;674000000.0;22279000000.0;9545000000.0;5972000000.0;109000000.0;207000000.0;22440000000.0;13391578548.11854;5598000000.0;5598000000.0;47000000.0;179000000.0;3932000000.0;19428000000.0;19539000000.0;-2000000.0;84000000.0;-161460101.27630848;47000000.0;31000000.0;5221000000.0;-337000000.0;-283187823.7346697;45.10658645629883
2010-06-30;4852000000.0;908000000.0;12622000000.0;-2729000000.0;141000000.0;35000000.0;33017000000.0;12230000000.0;229000000.0;229000000.0;4920000000.0;1069000000.0;-1000000.0;833333333.3333334;4576000000.0;26000000.0;150000000.0;179000000.0;3000000.0;3707000000.0;4000000000.0;-3000000.0;10000000.0;-2000000.0;1281811387.7682898;2500000.0;347000000.0;148000000.0;64580905.88750148;101000000.0;392000000.0;1557000000.0;558000000.0;676000000.0;42000000.0;-205000000.0;-54000000.0;249000000.0;591000000.0;4300584346.129189;;148408366.6395501;;131258719.9847984;198311088.85962605;-1791412967.8263311;-1549334698.7267666;41000000.0;74000000.0;5854000000.0;652000000.0;818000000.0;993000000.0;993000000.0;816000000.0;93200000.0;38333333.333333336;177000000.0;-258333333.3333333;-33666666.66666667;72333333.33333333;49000000.0;321195635.0362609;90666666.66666669;-35000000.0;103666666.66666666;1360000000.0;53000000.0;116000000.0;1865000000.0;1665000000.0;84000000.0;2396000000.0;13133000000.0;33017000000.0;6776000000.0;4748788950.700978;;440000000.0;1896004603.0694315;3500000000.0;106000000.0;-760333333.3333334;-261000000.0;938000000.0;818000000.0;-2000000.0;818000000.0;819000000.0;;905000000.0;300000000.0;;129000000.0;12474700.949853765;40446303.85295196;398338853.30150497;770695534.2345142;255534893.63672867;-22000000.0;44800359.581963375;;;192000000.0;1047000000.0;3729000000.0;11000000.0;506000000.0;266333333.3333333;556000000.0;1581000000.0;1918333333.3333333;-100000000.0;69333333.33333334;86000000.0;816000000.0;22279000000.0;9657000000.0;6234000000.0;878000000.0;216000000.0;23007000000.0;14241340730.734337;5937000000.0;5937000000.0;53666666.66666666;327000000.0;2849000000.0;19778000000.0;19884000000.0;1000000.0;86000000.0;-148003619.85231152;53666666.66666666;69333333.33333334;5420000000.0;56666666.66666669;-1100457294.1409483;39.47311019897461
2010-09-30;6308000000.0;1217000000.0;14330000000.0;-2627000000.0;156000000.0;46000000.0;49854000000.0;16446000000.0;1114000000.0;1114000000.0;11874000000.0;1069000000.0;-1000000.0;950666666.6666666;5379000000.0;-60000000.0;150000000.0;94000000.0;4000000.0;4803000000.0;5000000000.0;96000000.0;16000000.0;29000000.0;1571934607.1088028;3000000.0;-1891000000.0;81000000.0;276000000.0;111000000.0;344000000.0;1557000000.0;603000000.0;732000000.0;146000000.0;180000000.0;143000000.0;286000000.0;626000000.0;4392201112.717312;;-132055317.79436211;;233580223.61271417;99708438.46426848;-399499719.8031344;-2628252201.319706;4000000.0;75000000.0;13671000000.0;600000000.0;1734000000.0;1940000000.0;1940000000.0;1731000000.0;139800000.0;29666666.666666668;209000000.0;-217666666.6666667;-66333333.333333336;161666666.66666666;49000000.0;282787267.73279834;-20666666.666666657;-38000000.0;332333333.3333333;5248000000.0;47000000.0;1820000000.0;3941000000.0;1841000000.0;280000000.0;1005000000.0;18738000000.0;49854000000.0;10061000000.0;4947517387.894189;;1470000000.0;2047840679.6167157;2100000000.0;218000000.0;-753666666.6666666;-323000000.0;887000000.0;1734000000.0;-3000000.0;1734000000.0;1734000000.0;;1280000000.0;606000000.0;;129000000.0;19298445.317063548;39917605.476918966;313769968.652997;612871386.9192233;210247315.22013623;-22000000.0;37108470.8841206;;;192000000.0;1108000000.0;4820000000.0;17000000.0;675000000.0;278666666.6666667;663000000.0;1192000000.0;;-18000000.0;107666666.66666669;88000000.0;1731000000.0;26230000000.0;11900000000.0;8600000000.0;1647000000.0;240000000.0;24454000000.0;8521380334.681746;6845000000.0;6845000000.0;60333333.333333336;446000000.0;1511000000.0;30898000000.0;31116000000.0;4000000.0;88000000.0;-132261390.862131;60333333.333333336;107666666.66666669;2803000000.0;450333333.3333334;-1500104712.8017511;44.11151885986328
2011-03-31;6328000000.0;1544000000.0;15112000000.0;-2643000000.0;177000000.0;57666666.66666666;52372000000.0;18211000000.0;1475000000.0;1475000000.0;11983000000.0;1069000000.0;-1000000.0;1068000000.0;6201000000.0;155000000.0;64000000.0;235000000.0;16000000.0;6410000000.0;6500000000.0;-29000000.0;93000000.0;60000000.0;1748593180.171142;3000000.0;-1688000000.0;14000000.0;276000000.0;150000000.0;316000000.0;1702000000.0;661000000.0;788000000.0;160000000.0;227000000.0;340000000.0;338000000.0;783000000.0;4073934033.8810873;;-72280064.01867509;;249304743.92289835;127623316.90805744;1022378462.0480725;-953063221.1447943;10000000.0;93000000.0;13978000000.0;458000000.0;944000000.0;1238000000.0;1238000000.0;1420000000.0;186400000.0;21000000.0;295000000.0;-177000000.0;-99000000.0;251000000.0;49000000.0;226389280.17995965;-132000000.0;-41000000.0;561000000.0;5079000000.0;73000000.0;2000000000.0;4092000000.0;1757000000.0;335000000.0;1198000000.0;20746000000.0;52372000000.0;10399000000.0;5600000000.0;3400000000.0;1739000000.0;1604205408.2355328;3100000000.0;212000000.0;-747000000.0;-385000000.0;836000000.0;944000000.0;-1000000.0;1722166666.6666667;944000000.0;;1051000000.0;796000000.0;;129000000.0;22526630.56791472;38181736.65873508;139509634.75722826;287663259.57681227;143748047.92097852;-22000000.0;25813873.54778313;;;192000000.0;970000000.0;6422000000.0;23000000.0;844000000.0;291000000.0;770000000.0;1253000000.0;2234000000.0;64000000.0;146000000.0;90000000.0;943000000.0;27330000000.0;12218000000.0;8891000000.0;2416000000.0;254000000.0;25814000000.0;8943814708.846352;8716000000.0;8716000000.0;67000000.0;450000000.0;2688000000.0;31414000000.0;31626000000.0;7000000.0;90000000.0;-158855526.79546383;67000000.0;146000000.0;3740000000.0;844000000.0;1160677194.2540212;67.14305877685547
2011-06-30;7013000000.0;1210000000.0;15983000000.0;-2594000000.0;203000000.0;69333333.33333333;54019000000.0;19942000000.0;1378000000.0;1378000000.0;12044000000.0;1388000000.0;3000000.0;1391000000.0;7023000000.0;288000000.0;168000000.0;452000000.0;-4000000.0;5732000000.0;5900000000.0;-95000000.0;20000000.0;41000000.0;2054901654.1696067;-13000000.0;-1298000000.0;190000000.0;276000000.0;155000000.0;339000000.0;1488000000.0;667000000.0;803750000.0;174000000.0;95000000.0;346750000.0;336000000.0;830000000.0;3070129472.608164;;-9757756.958936036;;259687223.1350755;172173670.3079443;733262472.9400139;-1447525472.0225782;19000000.0;139000000.0;13935000000.0;318000000.0;1106000000.0;1475000000.0;1475000000.0;1109000000.0;233000000.0;25000000.0;366000000.0;-196250000.0;-35500000.0;285000000.0;68750000.0;250222886.65516055;-103000000.0;-34750000.0;629500000.0;4996000000.0;69000000.0;2030000000.0;4306000000.0;1930000000.0;346000000.0;1217000000.0;21957000000.0;54019000000.0;12376000000.0;5600000000.0;3400000000.0;2573000000.0;1419415495.3891325;3900000000.0;214000000.0;-649250000.0;-474750000.0;816500000.0;1339000000.0;3000000.0;1710333333.3333333;1106000000.0;;1157000000.0;871000000.0;;-32000000.0;22180393.18092646;38181736.65873509;113989949.3016212;240037911.1578808;171850422.42879984;19000000.0;30586933.72050501;;;104000000.0;1104000000.0;5745000000.0;28500000.0;714000000.0;301750000.0;817500000.0;1244000000.0;1687000000.0;71250000.0;131500000.0;96250000.0;1342000000.0;28298000000.0;12315000000.0;9356000000.0;1822000000.0;281000000.0;26815000000.0;8711346172.374165;8990000000.0;8990000000.0;70000000.0;1244000000.0;3555000000.0;31848000000.0;32062000000.0;4500000.0;96250000.0;-160629879.21838918;70000000.0;131500000.0;4417000000.0;714000000.0;1499284576.4333887;62.38725662231445
