;AccountsPayableAndAccruedLiabilitiesCurrent;AccruedIncomeTaxesCurrent;AccumulatedOtherComprehensiveIncomeLossNetOfTax;Assets;AssetsCurrent;CashAndCashEquivalentsAtCarryingValue;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;CommonStockValue;ComprehensiveIncomeNetOfTax;ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;CostsAndExpenses;DebtCurrent;DebtInstrumentFairValue;DeferredIncomeTaxLiabilitiesNet;DeferredTaxLiabilitiesNoncurrent;DepreciationDepletionAndAmortization;DueToRelatedPartiesNoncurrent;EnergyRelatedInventory;ExciseAndSalesTaxes;ExplorationExpense;GuaranteeObligationsCurrentCarryingValue;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeLossFromEquityMethodInvestments;IncomeTaxExpenseBenefit;IncomeTaxesPaidNet;IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet;InterestExpense;InterestPaid;InventoryFinishedGoodsAndWorkInProcess;InventoryPartsAndComponentsNetOfReserves;Liabilities;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LongTermDebtAndCapitalLeaseObligations;LongTermDebtNoncurrent;LongTermInvestmentsAndReceivablesNet;MinorityInterest;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent;OtherAssetsCurrent;OtherAssetsNoncurrent;OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax;OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax;OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax;OtherComprehensiveIncomeLossNetOfTax;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossTax;OtherComprehensiveIncomeLossTaxPortionAttributableToParent1;OtherIncome;OtherLiabilitiesNoncurrent;OtherNonoperatingIncomeExpense;PaymentsForProceedsFromOtherInvestingActivities;PaymentsForRepurchaseOfCommonStock;PaymentsOfDividendsCommonStock;PaymentsOfDividendsMinorityInterest;PaymentsToAcquirePropertyPlantAndEquipment;PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent;ProceedsFromIssuanceOfLongTermDebt;ProceedsFromPaymentsToMinorityShareholders;ProceedsFromSalesOfBusinessAffiliateAndProductiveAssets;ProfitLoss;PropertyPlantAndEquipmentNet;ReceivablesNetCurrent;RestrictedCashAndCashEquivalentsAtCarryingValue;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerExcludingAssessedTax;Revenues;SellingGeneralAndAdministrativeExpense;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;StockholdersEquityOther;StockIssuedDuringPeriodValueTreasuryStockReissued;TaxesOther;TreasuryStockValue;StockPrice
AccountsPayableAndAccruedLiabilitiesCurrent;1.0;0.5796538439519127;0.15041100740280594;0.14273112329456025;0.5876538339689281;-0.0831315860760014;-0.19414036554921912;-0.0415294101265744;0.4275262658617644;0.09953749184107373;0.37262997077008414;0.3868987556159961;-0.20766506438667082;-0.2333825887492855;-0.07867115272244692;0.03928263528926749;0.09387300666257443;-0.27607917729878956;0.3599442677469839;0.06977275024998697;0.1902095991725293;0.42904492341611994;-0.2844091887828262;0.2890453203819268;0.1056106447239931;0.2777928714476075;0.2189955245169023;-0.17231921095627156;-0.29077415848260846;0.279598492236446;-0.1972549972932829;0.2925236156768137;0.13085093583676016;0.7558402386993497;-0.22908592114526813;-0.18440813679968673;0.0922902893764148;0.30699868353640863;0.19501669512635636;0.04472605401435817;0.40470197802486246;-0.20179780838375658;0.07209308642521017;-0.39172311630940526;0.21132412281423052;0.1426226016691829;-0.01644804123055304;-0.054938956096417725;-0.08958216425638404;-0.17018343819649653;0.01022005582970167;-0.06584918617114033;-0.1347979299188147;-0.13921224799508997;0.274153151975568;-0.14552092601934377;-0.042554245973204494;0.17346009937398685;-0.22556951755476565;0.14124331814983732;0.10198595612116951;0.08825948326446469;-0.05802993352011276;0.025627093130835804;0.07110275247320262;-0.19893304915623383;-0.06203924037951083;0.8011538208941119;0.10279792785752045;-0.19457747176243442;0.38563782315367234;0.4276375262341234;0.18126389433794335;0.002400124761443878;0.01652493339239158;0.014279238391790195;0.00035547890421029876;0.13798207774639165;-0.014768942027344826;0.5140404799857926
AccruedIncomeTaxesCurrent;0.5796538439519127;1.0;0.6659163436554735;0.12797215692211014;0.446806693127954;0.09829227280090917;-0.05900006227722294;-0.0488727652674869;0.15620379991973452;0.21571560047573168;0.13195938176872632;-0.12017722597756411;-0.15054527339480792;-0.7036909233736398;0.09741053771745722;0.04035053110356565;0.03251097839325415;-0.10615224472768323;0.16975003385556078;-0.3025638672217518;0.022515209117231663;0.08540342783936929;0.16564326300796728;0.04798767748358402;0.06588811874257394;0.2894740505049277;0.03562724211191313;-0.19060576392081097;-0.27563787206272816;0.10174246203930133;-0.458666581266543;0.12143545877272029;0.11633558440999107;0.3447508942874744;-0.09043250964188265;-0.11026047830409662;0.07258500794912251;0.12079541960262485;-0.07141892600415509;0.1267744255991912;0.24808042066593514;0.19328392724047375;0.05833357117737582;-0.1712647759406177;0.21843944209522434;0.02122576286967794;-0.015766243535851963;-0.10126549578010734;-0.14607347141943766;-0.16839246616534065;-0.006661966994222536;-0.03491447816984241;0.1372484485179544;0.03828421421040766;0.18057271609747133;-0.5106845232847482;-0.06053124516407281;0.10161714796326886;-0.3039341590215047;0.1330901139737005;0.247060601916959;0.4293056471283599;-0.12510066576079332;0.09714498951196532;0.08150015086560974;0.1990109152277527;-0.03007059051774704;0.39700661659270664;0.03875670077140138;0.07837686505203148;0.31463317095787;-0.0586841497445855;-0.017112305121896307;0.10641014501717577;0.11072881090191936;-0.036420684256277876;-0.04807570046030287;-0.14574645862093888;-0.003278844100013739;0.09082517506649172
AccumulatedOtherComprehensiveIncomeLossNetOfTax;0.15041100740280594;0.6659163436554735;1.0;-0.06731552871686078;-0.06734362122226663;-0.12742749781194357;-0.08209660010085817;-0.03138892321717251;-0.05303398576775981;0.00021779640942634493;-0.05366650466821569;-0.5440845243687441;0.03254619694792044;-0.9890480434785215;0.12256561937955568;-0.030697767349280213;-0.10768910925373522;0.0281792085535471;-0.12289930648618128;-0.6655583035535511;-0.07823661713526378;-0.06538921661142597;0.014696235661880079;-0.14055034329460622;-0.034830175857393585;-0.031813005729227774;0.019708982779714543;-0.16719459993387698;-0.030531769040730718;-0.09145292686988775;-0.5621630334425703;-0.05494238066412622;-0.05259117928110915;-0.054958529519876044;-0.0024954924810086793;-0.0775927315735262;-0.022364025059314653;-0.08675753565712073;0.009275548836835991;0.014301892707877878;-0.0712739480893909;-0.09132038029607896;0.04260366571479609;0.06789817340919363;-0.022231221633195575;-0.04021590400458217;-0.01008813132585446;-0.0047005526306923414;0.011051324501705933;-0.0034939087035434292;-0.00041314877308698674;0.02974820952427292;0.02132260506451479;-0.040819956571302975;-0.07856995311900503;-0.7521296538582274;-0.005217589038608458;-0.021847416107811542;-0.0870525556450017;-0.03825179167746485;-0.0040724681620147325;0.7896285761350477;-0.011523358110522424;0.018651581567070932;-0.024495815240581267;-0.0914773725725007;-0.028280429433563996;-0.0684194893346899;-0.00028611432959998513;-0.0513199691402189;0.09248978577332406;-0.5094746828606351;-0.29830902614041943;-0.053696057532780374;-0.056620729850206934;-0.02388145838628286;-0.04372175030693749;-0.42089148873027865;-0.007643887886337907;-0.16969404762986398
Assets;0.14273112329456025;0.12797215692211014;-0.06731552871686078;1.0;0.19161002756842857;0.035353650900302146;0.06406311354966598;0.8230509809700222;0.007107432417284683;0.024988790000747912;0.017847812314301825;0.14800262595076202;-0.05681883801599868;0.04195418562386206;0.2576453326317441;0.5929865818094038;0.16386549606220363;0.014195932218586407;0.08368815710720075;0.10384576849256995;0.01607052739079547;0.15585837188434337;0.25868766416349637;-0.10220966497856296;0.05781947320806511;0.13798151474385767;0.06460095507307546;-0.06102742120906787;-0.25698127552092537;0.09153069292422113;0.11839129526701389;0.8326404786877429;0.842160338965555;0.18685965671646673;0.35770078029580865;-0.15273420345210376;0.028693101598217405;0.22715717270949654;-0.11145418397899366;0.08996890434821253;0.11932865890949929;0.3059150028357689;0.024662710793955846;-0.12779201616417327;0.29293668870161255;0.10748010173833278;-0.03665168556515729;0.11775224875536741;-0.021153530116726067;0.03437687800913952;0.023532487215469657;-0.07766113253784569;-0.10312728440806054;-0.13297807118852525;0.3028481577807785;0.051908181828669984;0.3600253808386181;-0.009775922323759328;-0.04813891609329044;0.023742723566892554;0.23702761791910407;-0.03999162052548035;-0.030223020683513784;0.06380785767349723;-0.0027416356405620406;0.29904460191056587;0.7791788527260183;0.16904528100680383;0.1022507705094787;0.26166978102962124;-0.07246703300079312;0.13436930932650296;0.12996047857468726;0.8764952392756302;0.8749008964175974;0.6330117641104973;0.619205916332841;0.08691393484570321;-0.7443714984509326;-0.11507192935144064
AssetsCurrent;0.5876538339689281;0.446806693127954;-0.06734362122226663;0.19161002756842857;1.0;0.44010280076136227;0.047158527251416095;-0.10293886573512488;0.09195966076778321;-0.028508869931681058;0.08180065570362346;0.23936469256050552;-0.3467529759343028;0.016762728772796855;0.31994473717322836;0.028944290584493094;0.047070664416583835;-0.24574147910258298;0.18173668893781933;0.34918870942306635;0.24010774172918875;0.17677926207658048;0.17906134530710138;-0.05425763629791648;0.058692222387477316;0.3896021379148755;0.11735296529367015;0.1206923243414993;-0.3000190849934951;0.21737975014868266;0.24161111393584922;0.281808206182999;-0.05514924381299592;0.43456885247315136;-0.33173084943653325;-0.3859278993340252;-0.32411910438567204;-0.13494703742119235;0.03745211942822648;0.1644654007331705;0.2557878341532677;0.2768249908046998;0.17205406157191688;-0.27702138036041746;0.507095865918832;-0.3048191093482227;0.10483029621924222;0.01758261473165164;-0.0028383352186135834;-0.17055664978916057;0.10992746514564922;-0.40159313732781027;-0.15012645261491953;0.033722845354088364;0.2508529397874028;0.31131904705630126;-0.025351514397173345;0.1526716717042048;-0.34890321387771045;0.2760963854810848;0.36883456767806383;-0.27531731540231325;0.0053069325949113965;0.08933615282353784;0.15899167680436188;0.2552345297750445;-0.31052919350422875;0.3708780186337039;0.0682580860745217;0.250260773541523;0.06950657200753223;0.26286029777830106;0.03723206213297739;-0.02943984340348662;-0.03588530059041116;-0.0955115766215161;-0.10244337334394676;-0.04700053894805916;0.05830420228882936;0.25365722907797184
CashAndCashEquivalentsAtCarryingValue;-0.0831315860760014;0.09829227280090917;-0.12742749781194357;0.035353650900302146;0.44010280076136227;1.0;0.3868508015084148;-0.13373549055475978;-0.22451001732905967;-0.4394948193836116;-0.21036906043047104;-0.07317953449702694;-0.03951702042442161;0.1586034575701443;-0.03647837925100739;-0.07340190178695068;0.1203753338105607;-0.017036119856232785;0.14089871158192585;0.2177406789124873;-0.04596236261076623;-0.07288864823167225;0.2786556631150602;-0.17105048758358143;0.0515433846572659;0.2003821622971257;-0.10005382592603562;-0.08270282185818363;-0.10458627707502556;-0.21214371688739234;-0.020020311928177374;0.07722505077495043;0.052270885593416784;0.09226690547473088;0.07096281387440126;-0.04382054689611473;0.07795587397385405;-0.07270334596594388;0.0457414960789339;0.18108400312629822;-0.06189877969243265;0.3278740351268727;0.12810689178243112;6.151179213498002e-05;0.037608507958821126;-0.15899006873381125;0.01251902712575673;-0.04706848667382483;0.16401978283447624;-0.0473616840051861;0.028701326636731847;-0.08439380682540655;-0.0742481209088808;-0.056503059104740884;-0.05324480155180343;0.11496619337866683;-0.04645895211048004;-0.020677038769267728;-0.1679648344880446;0.21729645786624913;0.3710847994945124;-0.10970908036368554;-0.14572261325910904;0.13699736311936142;-0.03578313870599168;0.32896159623232174;-0.0940160716676923;-0.06324159506219092;0.17576288226195322;0.18913773330644285;-0.10371004614585033;-0.03690103292065307;-0.11051465056631593;0.028247276419403555;0.025211950374526157;-0.12130212093703154;-0.16014926714697156;-0.18663058828015813;0.0649380966448397;-0.23304079703848657
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;-0.19414036554921912;-0.05900006227722294;-0.08209660010085817;0.06406311354966598;0.047158527251416095;0.3868508015084148;1.0;0.025914061832629617;-0.19845671321427857;-0.23617208457966665;-0.17846045041965447;-0.10135397329611245;0.16720468379695333;0.11678581424245495;-0.10892751645025435;0.21858638860341523;0.09271561048969287;0.06785317515815215;-0.06966690922819951;0.10900222298365742;-0.03499604027361717;-0.23050141336688965;0.15940945379899016;-0.1327209349575504;-0.02996035612691305;0.05127306957595124;-0.02662558822355357;-0.3753749005014659;-0.015523480362738654;0.1505358378604914;-0.07098639224846862;0.0029068432995561595;0.1368077305588221;-0.044621052270865116;0.28601219963671654;0.24693825328396699;0.1704627368422412;-0.12530119194756437;0.022185138570420884;0.14035140770040255;-0.18739424958647044;0.1842758162621476;-0.17277960936514253;0.10028155398214633;0.11513358677720172;0.09539762725040513;-0.11204175638883143;0.1561422962623612;0.12087667754575271;-0.019978114923481984;-0.18794379668621405;0.3687857681857815;0.06103466865187456;0.07581806791345988;-0.12247324324901088;0.05108836185787988;0.02480928454745005;0.002654053843051526;0.20123548973065952;0.08468020450716468;0.17801674399712733;-0.07521807073917966;0.14818552232063648;0.05258819905182653;0.005384438267997427;0.19493731014075766;0.14693858781735614;-0.03946070379989837;-0.26117611252821504;0.12152299462526342;-0.025314385942537973;-0.0669357556560015;0.06429675491255377;0.16535794293916087;0.15612558764276874;-0.05335212181287539;-0.07228614433507692;-0.15227269355464945;-0.03153233753691175;-0.18373740265530236
CommonStockValue;-0.0415294101265744;-0.0488727652674869;-0.03138892321717251;0.8230509809700222;-0.10293886573512488;-0.13373549055475978;0.025914061832629617;1.0;0.0360849369199865;0.022781961639408984;0.024109723288196976;0.10167299094939995;-0.0622149637085522;0.030725083851248468;0.38852792037395384;0.3601210910036521;0.19157083007759135;0.011770991843645663;-0.04390331340017333;-0.0983667546992297;-0.06921268067747072;-0.03656506871966121;0.031052797410295756;-0.03699712985100083;0.04467555406390262;0.020318926732702892;0.020502081287733336;0.004680824888060166;-0.08621036925560406;-0.017452328244232047;0.08539313491747795;0.5295424647922917;0.6931408931196469;-0.06600308799991843;0.27610089926246334;-0.03297312917678816;0.006964611647683694;-0.011807136537915262;0.010314437571966041;0.0003734621035973769;0.031511641304172215;0.06112094436213077;0.0156625096524084;-0.011575385680531219;0.05213528315116112;0.11819547273108393;-0.14075990842069896;0.031531616251540634;-0.024966082503512458;0.06225875188880356;-0.09525290318296455;0.07347610269735844;-0.06520812537963712;-0.025643247507311912;0.17923764436083583;0.025303054212880524;0.570460779652499;-0.027519669258277875;-0.04690524225339321;-0.016863978990177664;-0.016844272610537968;-0.029961309528288363;-0.0285517753076091;0.03900882015523531;-0.023586964890421752;0.05793724314776811;0.7558995478871223;0.05233446538582353;-0.028630503052570196;0.0265546716935331;-0.019896088839897023;0.0903171687900246;0.11563205950511045;0.8189981760347803;0.8083221997472566;0.8933249473120287;0.8630814628429065;0.060634321991085885;-0.9156796161571029;-0.11243329925250314
ComprehensiveIncomeNetOfTax;0.4275262658617644;0.15620379991973452;-0.05303398576775981;0.007107432417284683;0.09195966076778321;-0.22451001732905967;-0.19845671321427857;0.0360849369199865;1.0;0.4389764310330699;0.9750298150349099;0.26674202063984515;-0.04218435612731827;0.0072528139826837385;-0.14732565416907534;0.030913840254686634;-0.17194211077255;-0.0024522466655496093;0.21466636667034258;-0.006913425954934656;0.054709742150997845;0.05861896643995337;-0.38459811624332435;0.2349017444045754;0.2659940758036101;0.10086863195994826;-0.14378235962111022;-0.11415771459452953;0.010531938529682898;0.04571584616516976;-0.122858718397939;-0.021899788005201138;0.07691172931096729;0.28091734151598696;-0.05779113898070641;0.08255239894282128;0.18562778488237064;0.17882441032966742;0.20079534494553294;-0.09326373873066081;0.18992593195364987;-0.17662192406279892;-0.0013736944244166814;-0.11131846192160798;-0.10725578203144177;0.3535740885598608;-0.013613246372401687;-0.22025863695554812;-0.14233481638769688;-0.05479222273514586;-0.07202549060933416;0.13360347906798622;-0.13875368289360893;0.1964513602566661;0.27901689687761355;0.043587305580842194;-0.03816278053013998;0.06607133451368424;-0.0940524347681759;0.10136415448320701;-0.228824362425545;-0.04088739288208022;-0.09984243297870489;-0.06139029685297429;-0.0040901050367149056;-0.15068723868311362;0.023809020924986348;0.46092273146710405;-0.0028178837273457173;-0.2259713541196918;0.44248411853986563;0.377146402405366;0.1557430822113951;0.05440087928032273;0.06182819764376738;0.030164212511570837;0.06675337958212416;0.07466113447867419;-0.05782506681822078;0.5029752537569336
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;0.09953749184107373;0.21571560047573168;0.00021779640942634493;0.024988790000747912;-0.028508869931681058;-0.4394948193836116;-0.23617208457966665;0.022781961639408984;0.4389764310330699;1.0;0.39908074974662217;0.008549778939122498;-0.09242201833317067;-0.005382517320610909;0.03741965680995626;-0.03742911241693395;-0.16921053726819213;0.09851525757589184;0.10406812724228404;-0.13735660663414756;0.05603041887454482;-0.184043331338391;0.04451026089976682;0.04969837408907388;0.03112149774645631;0.030990198269467955;-0.14676843721297214;-0.01558558400913106;0.19573251761129704;-0.10058314291357229;-0.0014456954806244568;-0.07322844765088939;0.02104456785736895;-0.06629332827925012;-0.023679758045053928;0.007731184658961844;-0.03222548154368219;0.11414378770438383;-0.1344063989053712;0.029722319177717227;0.00030014874205093434;0.14554572464377605;-0.027244019662239834;0.26385928269878434;0.06615884206387682;0.2743658265939701;0.021673249304601745;-0.16493416392358684;-0.27000087395175265;-0.11265262790562205;0.051590140566155504;-0.02913776947733241;-0.016167050340832906;0.2840557241700403;0.265035416192319;0.0005381347453192604;-0.053624980112684364;0.010547903873993755;-0.052950575498782855;-0.036181844346495025;-0.052433140515570284;-0.046099773453316506;-0.09185110904735866;-0.0876292596271979;-0.01698915219476795;0.15823549740823664;0.012527813280142153;0.2168274346343798;0.021557294271480624;0.0946409959457614;0.1859647093702968;0.05142720589088126;0.13682923625270357;0.07020643527069301;0.07430488182807145;0.02394766878930184;0.05745482627108612;0.06922632821195278;0.02824458296620555;0.3804481588339317
