end;AccountsPayableAndAccruedLiabilitiesCurrent;AccruedIncomeTaxesCurrent;AccumulatedOtherComprehensiveIncomeLossNetOfTax;Assets;AssetsCurrent;CashAndCashEquivalentsAtCarryingValue;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;CommonStockValue;ComprehensiveIncomeNetOfTax;ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;CostsAndExpenses;DebtCurrent;DebtInstrumentFairValue;DeferredIncomeTaxLiabilitiesNet;DeferredTaxLiabilitiesNoncurrent;DepreciationDepletionAndAmortization;DueToRelatedPartiesNoncurrent;EnergyRelatedInventory;ExciseAndSalesTaxes;ExplorationExpense;GuaranteeObligationsCurrentCarryingValue;IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest;IncomeLossFromEquityMethodInvestments;IncomeTaxExpenseBenefit;IncomeTaxesPaidNet;IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet;InterestExpense;InterestPaid;InventoryFinishedGoodsAndWorkInProcess;InventoryPartsAndComponentsNetOfReserves;Liabilities;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LongTermDebtAndCapitalLeaseObligations;LongTermDebtNoncurrent;LongTermInvestmentsAndReceivablesNet;MinorityInterest;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent;OtherAssetsCurrent;OtherAssetsNoncurrent;OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax;OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax;OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax;OtherComprehensiveIncomeLossNetOfTax;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossTax;OtherComprehensiveIncomeLossTaxPortionAttributableToParent1;OtherIncome;OtherLiabilitiesNoncurrent;OtherNonoperatingIncomeExpense;PaymentsForProceedsFromOtherInvestingActivities;PaymentsForRepurchaseOfCommonStock;PaymentsOfDividendsCommonStock;PaymentsOfDividendsMinorityInterest;PaymentsToAcquirePropertyPlantAndEquipment;PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent;ProceedsFromIssuanceOfLongTermDebt;ProceedsFromPaymentsToMinorityShareholders;ProceedsFromSalesOfBusinessAffiliateAndProductiveAssets;ProfitLoss;PropertyPlantAndEquipmentNet;ReceivablesNetCurrent;RestrictedCashAndCashEquivalentsAtCarryingValue;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerExcludingAssessedTax;Revenues;SellingGeneralAndAdministrativeExpense;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;StockholdersEquityOther;StockIssuedDuringPeriodValueTreasuryStockReissued;TaxesOther;TreasuryStockValue;StockPrice
2008-06-30;37207000000.0;3263000000.0;-1957871346.8142624;;48315000000.0;38968000000.0;31047052136.478954;;43198909301.26837;;50932000515.19876;115641000000.0;-17461659623.38234;-21725360166.2132;16419515845.167068;;3008000000.0;;40542807627.89627;9538000000.0;338000000.0;;7240000000.0;2983000000.0;10526000000.0;3817000000.0;-1037199934.2821168;107000000.0;101000000.0;;2855968767.1264143;;278041844805.0873;60306000000.0;-21992895565.4112;2155364556.821361;46499950300.49141;6179539178.186897;-10105000000.0;-4740000000.0;8910000000.0;11680000000.0;536000000.0;473339158.5442168;3303550279.4158545;10690054540.386047;;;;;;-365721693.9933999;;1313000000.0;;27494260.917468548;208000000.0;7852000000.0;1981000000.0;90000000.0;4673000000.0;17892427758.2177;22000000.0;-111000000.0;;15366000000.0;191698743524.01947;40443844517.29677;;255333857288.76877;81675200057.1006;143106512173.99994;4389000000.0;121048191470.23416;127239471629.71085;794936076.117816;874595005.0260923;11418000000.0;156901934170.7371;48.790496826171875
2008-09-30;37207000000.0;3263000000.0;-2168880785.7685547;224661000000.0;59496000000.0;36674000000.0;11673789910.29866;5260000000.0;6601000000.0;242000000.0;6843000000.0;111044000000.0;2157000000.0;-329325481.66596985;36268460733.14514;21880000000.0;3008000000.0;;21805509989.15578;9327000000.0;403000000.0;;7240000000.0;2824000000.0;11327000000.0;3817000000.0;-1016398646.466082;318000000.0;101000000.0;9855000000.0;4490695207.903793;113508000000.0;224661000000.0;51614000000.0;7117000000.0;-15178636289.111652;30358000000.0;4561000000.0;-10105000000.0;-4740000000.0;8910000000.0;14830000000.0;536000000.0;373466057.9967296;4464000000.0;6946000000.0;;;;;;1888406814.6113105;;2828000000.0;14610000000.0;249566720.2547207;208000000.0;7852000000.0;1981000000.0;90000000.0;4673000000.0;10108562828.52394;22000000.0;-111000000.0;;15366000000.0;127861000000.0;26862000000.0;;270160000000.0;75023158580.58716;129278688853.895;3823000000.0;106592000000.0;111153000000.0;510455743.9170408;684693761.4438101;10989000000.0;160579000000.0;43.21367263793945
2009-03-31;42645000000.0;7870000000.0;-23373465344.121555;224661000000.0;59496000000.0;24972000000.0;6478074800.84906;5260000000.0;6601000000.0;242000000.0;6843000000.0;56178000000.0;2157000000.0;19506802210.17276;42804299330.00375;21880000000.0;2793000000.0;;20538378914.297165;5906000000.0;351000000.0;;7240000000.0;1470000000.0;3148000000.0;3817000000.0;-2051788858.962464;107000000.0;101000000.0;9855000000.0;2725000000.0;113508000000.0;224661000000.0;51614000000.0;7117000000.0;-1044777355.4141464;30358000000.0;4561000000.0;-10105000000.0;-4740000000.0;8910000000.0;4550000000.0;152000000.0;370900241.5375957;4464000000.0;6946000000.0;;;;;;1841432545.9919837;;430000000.0;14610000000.0;-2494944397.3826523;208000000.0;7852000000.0;1981000000.0;90000000.0;4673000000.0;18632000000.0;22000000.0;-111000000.0;;4702000000.0;127861000000.0;26862000000.0;;270160000000.0;81005150027.8622;61749025692.46723;3448000000.0;106592000000.0;111153000000.0;249361012.2745888;347719126.1288258;7800000000.0;160579000000.0;38.30399703979492
2009-06-30;42645000000.0;7870000000.0;-21025078654.051525;224661000000.0;59496000000.0;15576000000.0;-7764062870.657227;5260000000.0;6601000000.0;242000000.0;6843000000.0;66940000000.0;2157000000.0;15276741148.587944;41720744193.59051;21880000000.0;3004000000.0;;20475839292.50525;6216000000.0;490000000.0;;7240000000.0;1583000000.0;3571000000.0;3843333333.3333335;-2082349992.7206173;343000000.0;110666666.66666669;9855000000.0;2725000000.0;113508000000.0;224661000000.0;51614000000.0;7117000000.0;-4064875431.734932;30358000000.0;4561000000.0;-8276666666.666667;-4882333333.333333;10288666666.666666;3950000000.0;-4000000.0;327879928.20054203;4464000000.0;6946000000.0;;-517000000.0;;-460014075.25245416;;1633285746.3717823;;707000000.0;14610000000.0;-2015196809.4707432;193666666.66666663;6066333333.333333;1982666666.6666667;87666666.66666667;5034000000.0;18632000000.0;23666666.666666668;-74333333.33333334;;3946000000.0;127861000000.0;26862000000.0;;270160000000.0;79278474596.75127;72573247251.856;3519000000.0;106592000000.0;111153000000.0;378000000.0;432000000.0;8436000000.0;160579000000.0;39.55674743652344
2009-09-30;42645000000.0;7870000000.0;-14023239136.44554;229307000000.0;57324000000.0;12472000000.0;-14366170589.6064;5445000000.0;6599000000.0;386000000.0;6985000000.0;73056000000.0;2418000000.0;18100000000.0;41207090595.60779;23238000000.0;2927000000.0;;18228608923.16965;6805000000.0;495000000.0;8686000000.0;12706000000.0;1675000000.0;4333000000.0;3869666666.6666665;-2140416146.8611093;62000000.0;120333333.33333331;9860000000.0;2725000000.0;117202000000.0;229307000000.0;52933000000.0;7185000000.0;-5714713792.597481;32064000000.0;4840000000.0;-6448333333.333334;-5024666666.666667;11667333333.333334;4730000000.0;141000000.0;205380764.87503123;5179000000.0;7045000000.0;;-517000000.0;;-460014075.2524542;;1454623584.334197;;495000000.0;15214000000.0;-2245148005.3896112;179333333.33333334;4280666666.6666665;1984333333.3333333;85333333.33333333;5395000000.0;18632000000.0;25333333.33333333;-37666666.66666667;;4871000000.0;132874000000.0;26937000000.0;;272879000000.0;79344878777.01897;80879709014.66415;3887000000.0;107265000000.0;112105000000.0;378000000.0;432000000.0;9094000000.0;164679000000.0;39.05827713012695
2010-03-31;46136000000.0;9212000000.0;-13290651087.815475;242748000000.0;61696000000.0;13742000000.0;-17587351393.468124;5300000000.0;6224000000.0;374000000.0;6598000000.0;78183000000.0;2396000000.0;18100000000.0;40305553509.25929;23662000000.0;3280000000.0;;19061407832.393505;6815000000.0;686000000.0;8686000000.0;12706000000.0;2537000000.0;5493000000.0;3896000000.0;-2541248402.557741;55000000.0;130000000.0;10631000000.0;2857000000.0;125082000000.0;242748000000.0;57744000000.0;7054000000.0;-4981466599.069603;32541000000.0;5125000000.0;-4620000000.0;-5167000000.0;13046000000.0;6300000000.0;275000000.0;169517201.83206356;5329000000.0;7692000000.0;;-517000000.0;;-460014075.2524542;;1257943633.2497048;;677000000.0;19035000000.0;-1262620144.4089394;165000000.0;2495000000.0;1986000000.0;83000000.0;5756000000.0;17587000000.0;27000000.0;-1000000.0;;6575000000.0;140819000000.0;29052000000.0;;281251000000.0;79082062925.91277;88949114761.28519;3514000000.0;112541000000.0;117666000000.0;378000000.0;432000000.0;8613000000.0;168473000000.0;38.602481842041016
2010-06-30;45454000000.0;9421000000.0;-13496041529.335976;291068000000.0;62216000000.0;13252000000.0;-28920573262.722626;9002000000.0;6342000000.0;127000000.0;6469000000.0;79780000000.0;2946000000.0;18100000000.0;35498236712.03012;34283000000.0;3366000000.0;;16190094708.132326;6946000000.0;407000000.0;8686000000.0;12706000000.0;2244000000.0;4960000000.0;4215250000.0;-2616434108.807397;40000000.0;123250000.0;10439000000.0;3000000000.0;145701000000.0;291068000000.0;57821000000.0;17486000000.0;-1486542626.5052414;32642000000.0;5195000000.0;-5152250000.0;-5213500000.0;13998500000.0;7560000000.0;186000000.0;141041654.67579556;6304000000.0;8141000000.0;;-1847000000.0;;-1630264852.2826393;;-171227284.40210247;;549000000.0;18968000000.0;-1798956928.0027008;34500000.0;3284500000.0;2036500000.0;86000000.0;6079750000.0;17143000000.0;44750000.0;-3000000.0;;7746000000.0;188069000000.0;29206000000.0;628000000.0;286745000000.0;79010819387.99384;91420066588.91652;3607000000.0;140172000000.0;145367000000.0;409250000.0;544000000.0;8569000000.0;148820000000.0;33.11445617675781
2010-09-30;48251000000.0;10443000000.0;-13154793624.635536;299994000000.0;62633000000.0;12244000000.0;-26067632234.161743;9341000000.0;9766000000.0;480000000.0;10246000000.0;82440000000.0;3046000000.0;16100000000.0;33633428362.72669;35304000000.0;3844000000.0;;17024556852.132423;7172000000.0;500000000.0;8737000000.0;12858000000.0;2443000000.0;5297000000.0;4534500000.0;-2887000000.0;54000000.0;116500000.0;11154000000.0;3148000000.0;149394000000.0;299994000000.0;61740000000.0;15248000000.0;-1960230825.512108;33173000000.0;5569000000.0;-5684500000.0;-5260000000.0;14951000000.0;7350000000.0;211000000.0;112809348.69452453;5828000000.0;8748000000.0;177000000.0;2705000000.0;;2374984423.6883407;321487023.629451;-306113385.76884174;;502000000.0;19090000000.0;-1710885288.3104591;-96000000.0;4074000000.0;2087000000.0;89000000.0;6403500000.0;18012000000.0;62500000.0;-5000000.0;;7561000000.0;195440000000.0;30244000000.0;628000000.0;291861000000.0;79434310678.54945;94013356720.7867;3707000000.0;145031000000.0;150600000000.0;440500000.0;656000000.0;9306000000.0;151832000000.0;36.1097297668457
2010-12-31;52975500000.0;11379500000.0;-11311571487.347136;309763500000.0;67327500000.0;12538500000.0;-21751010798.382706;9248500000.0;10791500000.0;399500000.0;11191000000.0;88763500000.0;3303000000.0;14450000000.0;31988521117.357037;35712500000.0;3802500000.0;;18481483725.056763;7544000000.0;417000000.0;9816000000.0;15887500000.0;3135000000.0;6650500000.0;4853750000.0;-2887000000.0;41500000.0;109750000.0;12090000000.0;3192000000.0;155698000000.0;309763500000.0;67658000000.0;13782000000.0;-2063348806.131012;34190000000.0;5810000000.0;-6216750000.0;-5306500000.0;15903500000.0;9000000000.0;237000000.0;28716616.73986661;6604000000.0;8663000000.0;177000000.0;2019500000.0;;1771821335.2265415;321487023.6294512;-253137880.53115845;;714000000.0;19501500000.0;-1537397840.8991623;-226500000.0;4863500000.0;2137500000.0;92000000.0;6727250000.0;19044000000.0;80250000.0;-7000000.0;;9237000000.0;199583000000.0;32695000000.0;628000000.0;299611000000.0;79724317792.8847;102663825680.29256;3667000000.0;148255500000.0;154065500000.0;471750000.0;768000000.0;9354500000.0;156606500000.0;42.9999885559082
2011-03-31;57700000000.0;12316000000.0;-9468349350.05874;319533000000.0;72022000000.0;12833000000.0;-17434389362.60367;9156000000.0;11817000000.0;319000000.0;12136000000.0;95087000000.0;3560000000.0;12800000000.0;30343613871.987377;36121000000.0;3761000000.0;;19938410597.98111;7916000000.0;334000000.0;10895000000.0;18917000000.0;3827000000.0;8004000000.0;5173000000.0;-2887000000.0;29000000.0;103000000.0;13026000000.0;3236000000.0;162002000000.0;319533000000.0;73576000000.0;12316000000.0;-2166466786.749901;35207000000.0;6051000000.0;-6749000000.0;-5353000000.0;16856000000.0;10650000000.0;263000000.0;-55376115.21479142;7380000000.0;8578000000.0;177000000.0;1334000000.0;121000000.0;-2769000000.0;-272000000.0;-188317633.3732834;-120000000.0;926000000.0;19913000000.0;-1363910393.4878595;-357000000.0;5653000000.0;2188000000.0;95000000.0;7051000000.0;20076000000.0;98000000.0;-9000000.0;;10913000000.0;203726000000.0;35146000000.0;401000000.0;307361000000.0;80014355083.57896;111314291671.99512;3627000000.0;151480000000.0;157531000000.0;503000000.0;880000000.0;9403000000.0;161381000000.0;49.73541259765625
